main institute;school;school type;administration type;manager;director;educational coordinator;address;municipality;telephone;fax;institute email;management email;secretary's office email;website;miur code;vivoscuola institute link;entity
istituto comprensivo alta vallagarina;"scuola primaria ""a.de valentini"" calliano";;a carattere statale/provinciale;pasquale tappa;;;via degasperi, 4 38060;calliano;0464/410475;0461/490699;ic.altavallagarina@pec.provincia.tn.it;dir.ic.altavallagarina@scuole.provincia.tn.it;segr.ic.altavallagarina@scuole.provincia.tn.it;https://www.ic-altavallagarina.it;tnee86002d;https://www.vivoscuola.it/content/view/full/29440;school
istituto comprensivo alta vallagarina;"scuola primaria ""g. tovazzi"" volano";;a carattere statale/provinciale;pasquale tappa;;;via stazione, 30 38060;volano;0464/410475;0461/490699;ic.altavallagarina@pec.provincia.tn.it;dir.ic.altavallagarina@scuole.provincia.tn.it;segr.ic.altavallagarina@scuole.provincia.tn.it;https://www.ic-altavallagarina.it;tnee86003e;https://www.vivoscuola.it/content/view/full/29440;school
istituto comprensivo alta vallagarina;"scuola primaria ""s. pellico"" besenello";;a carattere statale/provinciale;pasquale tappa;;;via degasperi, 2 38060;besenello;0464/410475;0461/490699;ic.altavallagarina@pec.provincia.tn.it;dir.ic.altavallagarina@scuole.provincia.tn.it;segr.ic.altavallagarina@scuole.provincia.tn.it;https://www.ic-altavallagarina.it;tnee86001c;https://www.vivoscuola.it/content/view/full/29440;school
istituto comprensivo alta vallagarina;"scuola secondaria di primo grado ""alta vallagarina"" volano";;a carattere statale/provinciale;pasquale tappa;;;via manzoni, 3 38068;rovereto;0464/410475;0461/490699;ic.altavallagarina@pec.provincia.tn.it;dir.ic.altavallagarina@scuole.provincia.tn.it;segr.ic.altavallagarina@scuole.provincia.tn.it;https://www.ic-altavallagarina.it;tnmm86001b;https://www.vivoscuola.it/content/view/full/29440;school
istituto comprensivo altopiano di pine';;istituzione scolastica e formativa;a carattere statale/provinciale;elisabetta pizio;;;via del xxvi maggio - baselga, 6 38042;baselga di pine';0461/557138;0461/558163;ic.pine@pec.provincia.tn.it;dir.ic.altopianodipine@scuole.provincia.tn.it;segr.ic.altopianodipine@scuole.provincia.tn.it;https://www.icpine.eu;tnic816008;https://www.vivoscuola.it/content/view/full/29445;institute
istituto comprensivo altopiano di pine';"scuola primaria  ""abramo andreatta"" bedollo";;a carattere statale/provinciale;elisabetta pizio;;;via s osvaldo, 5 38043;bedollo;0461/556844;0461/558163;ic.pine@pec.provincia.tn.it;dir.ic.altopianodipine@scuole.provincia.tn.it;segr.ic.altopianodipine@scuole.provincia.tn.it;https://www.icpine.eu;tnee81605e;https://www.vivoscuola.it/content/view/full/29445;school
istituto comprensivo altopiano di pine';"scuola primaria ""g. dallafior"" baselga di pine'";;a carattere statale/provinciale;elisabetta pizio;;;via delle scuole, 15 38042;baselga di pine';0461/558317;0461/558163;ic.pine@pec.provincia.tn.it;dir.ic.altopianodipine@scuole.provincia.tn.it;segr.ic.altopianodipine@scuole.provincia.tn.it;https://www.icpine.eu;tnee81601a;https://www.vivoscuola.it/content/view/full/29445;school
istituto comprensivo altopiano di pine';"scuola primaria ""g. verdi"" miola baselga di pine'";;a carattere statale/provinciale;elisabetta pizio;;;via della chiesa, 3 38042;baselga di pine';0461/558300;0461/558163;ic.pine@pec.provincia.tn.it;dir.ic.altopianodipine@scuole.provincia.tn.it;segr.ic.altopianodipine@scuole.provincia.tn.it;https://www.icpine.eu;tnee81602b;https://www.vivoscuola.it/content/view/full/29445;school
istituto comprensivo altopiano di pine';"scuola secondaria di primo grado ""don giuseppe tarter""baselga di pine'";;a carattere statale/provinciale;elisabetta pizio;;;via del xxvi maggio - baselga, 6 38042;baselga di pine';0461/557138;0461/558163;ic.pine@pec.provincia.tn.it;dir.ic.altopianodipine@scuole.provincia.tn.it;segr.ic.altopianodipine@scuole.provincia.tn.it;https://www.icpine.eu;tnmm816019;https://www.vivoscuola.it/content/view/full/29445;school
istituto comprensivo arco;;istituzione scolastica e formativa;a carattere statale/provinciale;paola maroni;;;localita prabi,   38062;arco;0464/516429;0464/517064;ic.arco@pec.provincia.tn.it;dir.ic.arco@scuole.provincia.tn.it;segr.ic.arco@scuole.provincia.tn.it;https://www.icarco.edu.it;tnic840005;https://www.vivoscuola.it/content/view/full/29450;institute
istituto comprensivo arco;"scuola primaria ""g. segantini"" arco";;a carattere statale/provinciale;paola maroni;;;via nas, 28 38062;arco;0464/532947;0464/517064;ic.arco@pec.provincia.tn.it;dir.ic.arco@scuole.provincia.tn.it;segr.ic.arco@scuole.provincia.tn.it;https://www.icarco.edu.it;tnee840039;https://www.vivoscuola.it/content/view/full/29450;school
istituto comprensivo arco;scuola primaria bolognano;;a carattere statale/provinciale;paola maroni;;;viale stazione, 2 38062;arco;0464/518610;0464/517064;ic.arco@pec.provincia.tn.it;dir.ic.arco@scuole.provincia.tn.it;segr.ic.arco@scuole.provincia.tn.it;https://www.icarco.edu.it;tnee840017;https://www.vivoscuola.it/content/view/full/29450;school
istituto comprensivo arco;scuola primaria massone;;a carattere statale/provinciale;paola maroni;;;via maffei - san martino, 2 38062;arco;0464/516679;0464/517064;ic.arco@pec.provincia.tn.it;dir.ic.arco@scuole.provincia.tn.it;segr.ic.arco@scuole.provincia.tn.it;https://www.icarco.edu.it;tnee840028;https://www.vivoscuola.it/content/view/full/29450;school
istituto comprensivo arco;scuola primaria romarzollo;;a carattere statale/provinciale;paola maroni;;;via fossa, 8 38062;arco;0464/516187;0464/517064;ic.arco@pec.provincia.tn.it;dir.ic.arco@scuole.provincia.tn.it;segr.ic.arco@scuole.provincia.tn.it;https://www.icarco.edu.it;tnee84004a;https://www.vivoscuola.it/content/view/full/29450;school
istituto comprensivo arco;"scuola secondaria di primo grado ""n. d'arco"" arco";;a carattere statale/provinciale;paola maroni;;;localita prabi,   38062;arco;0464/516429;0464/517064;ic.arco@pec.provincia.tn.it;dir.ic.arco@scuole.provincia.tn.it;segr.ic.arco@scuole.provincia.tn.it;https://www.icarco.edu.it;tnmm840016;https://www.vivoscuola.it/content/view/full/29450;school
istituto comprensivo avio;;istituzione scolastica e formativa;a carattere statale/provinciale;niccolo' dai pra';;;viale degasperi, 69 38063;avio;0464/684029;0464/687570;ic.avio@pec.provincia.tn.it;dir.ic.avio@scuole.provincia.tn.it;segr.ic.avio@scuole.provincia.tn.it;https://www.istitutoavio.it;tnic84700x;https://www.vivoscuola.it/content/view/full/29456;institute
istituto comprensivo avio;scuola primaria avio;;a carattere statale/provinciale;niccolo' dai pra';;;via perotti, 47 38063;avio;0464/684117;0464/687570;ic.avio@pec.provincia.tn.it;dir.ic.avio@scuole.provincia.tn.it;segr.ic.avio@scuole.provincia.tn.it;https://www.istitutoavio.it;tnee847012;https://www.vivoscuola.it/content/view/full/29456;school
istituto comprensivo avio;scuola primaria sabbionara di avio;;a carattere statale/provinciale;niccolo' dai pra';;;piazza conciliazione,  1 38063;avio;0464/684067;0464/687570;ic.avio@pec.provincia.tn.it;dir.ic.avio@scuole.provincia.tn.it;segr.ic.avio@scuole.provincia.tn.it;https://www.istitutoavio.it;tnee847023;https://www.vivoscuola.it/content/view/full/29456;school
istituto comprensivo avio;"scuola secondaria di primo grado ""d. alighieri"" avio";;a carattere statale/provinciale;niccolo' dai pra';;;viale degasperi, 69 38063;avio;0464/684029;0464/687570;ic.avio@pec.provincia.tn.it;dir.ic.avio@scuole.provincia.tn.it;segr.ic.avio@scuole.provincia.tn.it;https://www.istitutoavio.it;tnmm847011;https://www.vivoscuola.it/content/view/full/29456;school
istituto comprensivo bassa anaunia - tuenno;;istituzione scolastica e formativa;a carattere statale/provinciale;licia campi;;;via colle verde, 3 38010;denno;0461/655783;0461/655783;ic.bassaanaunia@pec.provincia.tn.it;dir.ic.bassaanauniatuenno@scuole.provincia.tn.it;segr.ic.denno@scuole.provincia.tn.it;https://www.icbassaanauniatuenno.it;tnic82900a;https://www.vivoscuola.it/content/view/full/29461;institute
istituto comprensivo bassa anaunia - tuenno;"scuola primaria ""m. pezzi"" campodenno";;a carattere statale/provinciale;licia campi;;;via s maurizio, 3 38010;campodenno;0461/655783;0461/655783;ic.bassaanaunia@pec.provincia.tn.it;dir.ic.bassaanauniatuenno@scuole.provincia.tn.it;segr.ic.denno@scuole.provincia.tn.it;https://www.icbassaanauniatuenno.it;tnee82901c;https://www.vivoscuola.it/content/view/full/29461;school
istituto comprensivo bassa anaunia - tuenno;"scuola primaria ""mons. s. weber"" denno";;a carattere statale/provinciale;licia campi;;;via colle verde, 3 38010;denno;0461/655783;0461/655783;ic.bassaanaunia@pec.provincia.tn.it;dir.ic.bassaanauniatuenno@scuole.provincia.tn.it;segr.ic.denno@scuole.provincia.tn.it;https://www.icbassaanauniatuenno.it;tnee82903e;https://www.vivoscuola.it/content/view/full/29461;school
istituto comprensivo bassa anaunia - tuenno;"scuola primaria ""v. maistrelli"" tuenno";;a carattere statale/provinciale;licia campi;;;via maistrelli - tuenno, 11 38019;ville d'anaunia;0461/655783;0461/655783;ic.bassaanaunia@pec.provincia.tn.it;dir.ic.bassaanauniatuenno@scuole.provincia.tn.it;segr.ic.denno@scuole.provincia.tn.it;https://www.icbassaanauniatuenno.it;tnee82907p;https://www.vivoscuola.it/content/view/full/29461;school
istituto comprensivo bassa anaunia - tuenno;scuola primaria flavon;;a carattere statale/provinciale;licia campi;;;via nazionale - flavon,   38010;contá;0461/655783;0461/655783;ic.bassaanaunia@pec.provincia.tn.it;dir.ic.bassaanauniatuenno@scuole.provincia.tn.it;segr.ic.denno@scuole.provincia.tn.it;https://www.icbassaanauniatuenno.it;tnee82906n;https://www.vivoscuola.it/content/view/full/29461;school
istituto comprensivo bassa anaunia - tuenno;scuola primaria tassullo;;a carattere statale/provinciale;licia campi;;;piazza pilati - tassullo, 6 38019;ville d'anaunia;0461/655783;0461/655783;ic.bassaanaunia@pec.provincia.tn.it;dir.ic.bassaanauniatuenno@scuole.provincia.tn.it;segr.ic.denno@scuole.provincia.tn.it;https://www.icbassaanauniatuenno.it;tnee82908q;https://www.vivoscuola.it/content/view/full/29461;school
istituto comprensivo bassa anaunia - tuenno;scuola primaria vigo ton;;a carattere statale/provinciale;licia campi;;;piazza guardi, 7 38010;ton;0461/655783;0461/655783;ic.bassaanaunia@pec.provincia.tn.it;dir.ic.bassaanauniatuenno@scuole.provincia.tn.it;segr.ic.denno@scuole.provincia.tn.it;https://www.icbassaanauniatuenno.it;tnee82905l;https://www.vivoscuola.it/content/view/full/29461;school
istituto comprensivo bassa anaunia - tuenno;"scuola secondaria di primo grado ""e. leonardi"" tuenno";;a carattere statale/provinciale;licia campi;;;via maistrelli - tuenno, 11 38019;ville d'anaunia;0461/655783;0461/655783;ic.bassaanaunia@pec.provincia.tn.it;dir.ic.bassaanauniatuenno@scuole.provincia.tn.it;segr.ic.denno@scuole.provincia.tn.it;https://www.icbassaanauniatuenno.it;tnmm82902c;https://www.vivoscuola.it/content/view/full/29461;school
istituto comprensivo bassa anaunia - tuenno;"scuola secondaria di primo grado ""v. vielmetti"" denno";;a carattere statale/provinciale;licia campi;;;via colle verde, 3 38010;denno;0461/655783;0461/655783;ic.bassaanaunia@pec.provincia.tn.it;dir.ic.bassaanauniatuenno@scuole.provincia.tn.it;segr.ic.denno@scuole.provincia.tn.it;https://www.icbassaanauniatuenno.it;tnmm82901b;https://www.vivoscuola.it/content/view/full/29461;school
"istituto comprensivo bassa val di sole ""g. ciccolini""";;istituzione scolastica e formativa;a carattere statale/provinciale;nicola parzian;;;via taddei de mauris, 4 38027;male';0463/901237;0463/902866;ic.bassavaldisole@pec.provincia.tn.it;dir.ciccolini.male@scuole.provincia.tn.it;segr.ciccolini.male@scuole.provincia.tn.it;https://www.icbassavaldisole.it;tnic833002;https://www.vivoscuola.it/content/view/full/29470;institute
"istituto comprensivo bassa val di sole ""g. ciccolini""";"scuola primaria ""b. pezzen"" croviana";;a carattere statale/provinciale;nicola parzian;;;via delle scuole, 25 38027;croviana;0463/901237;0463/902866;ic.bassavaldisole@pec.provincia.tn.it;dir.ciccolini.male@scuole.provincia.tn.it;segr.ciccolini.male@scuole.provincia.tn.it;https://www.icbassavaldisole.it;tnee833036;https://www.vivoscuola.it/content/view/full/29470;school
"istituto comprensivo bassa val di sole ""g. ciccolini""";"scuola primaria ""c. cristoforetti"" male'";;a carattere statale/provinciale;nicola parzian;;;via alla croce, 17 38027;male';0463/901237;0463/902866;ic.bassavaldisole@pec.provincia.tn.it;dir.ciccolini.male@scuole.provincia.tn.it;segr.ciccolini.male@scuole.provincia.tn.it;https://www.icbassavaldisole.it;tnee833058;https://www.vivoscuola.it/content/view/full/29470;school
"istituto comprensivo bassa val di sole ""g. ciccolini""";scuola primaria caldes;;a carattere statale/provinciale;nicola parzian;;;via al castello, 26 38022;caldes;0463/901237;0463/902866;ic.bassavaldisole@pec.provincia.tn.it;dir.ciccolini.male@scuole.provincia.tn.it;segr.ciccolini.male@scuole.provincia.tn.it;https://www.icbassavaldisole.it;tnee833014;https://www.vivoscuola.it/content/view/full/29470;school
"istituto comprensivo bassa val di sole ""g. ciccolini""";scuola primaria dimaro;;a carattere statale/provinciale;nicola parzian;;;piazza madonna della pace - dimaro, 14 38025;dimaro folgarida;0463/901237;0463/902866;ic.bassavaldisole@pec.provincia.tn.it;dir.ciccolini.male@scuole.provincia.tn.it;segr.ciccolini.male@scuole.provincia.tn.it;https://www.icbassavaldisole.it;tnee833047;https://www.vivoscuola.it/content/view/full/29470;school
"istituto comprensivo bassa val di sole ""g. ciccolini""";scuola primaria s.bernardo rabbi;;a carattere statale/provinciale;nicola parzian;;;frazione san bernardo,   38020;rabbi;0463/901237;0463/902866;ic.bassavaldisole@pec.provincia.tn.it;dir.ciccolini.male@scuole.provincia.tn.it;segr.ciccolini.male@scuole.provincia.tn.it;https://www.icbassavaldisole.it;tnee83307a;https://www.vivoscuola.it/content/view/full/29470;school
"istituto comprensivo bassa val di sole ""g. ciccolini""";"scuola secondaria di primo grado ""g. ciccolini"" male'";;a carattere statale/provinciale;nicola parzian;;;via taddei de mauris, 4 38027;male';0463/901237;0463/902866;ic.bassavaldisole@pec.provincia.tn.it;dir.ciccolini.male@scuole.provincia.tn.it;segr.ciccolini.male@scuole.provincia.tn.it;https://www.icbassavaldisole.it;tnmm833013;https://www.vivoscuola.it/content/view/full/29470;school
istituto comprensivo borgo valsugana;;istituzione scolastica e formativa;a carattere statale/provinciale;luigi vitullo;;;via spagolla, 1 38051;borgo valsugana;0461/753179;0461/754131;ic.borgovalsugana@pec.provincia.tn.it;dir.ic.borgovalsugana@scuole.provincia.tn.it;segr.ic.borgovalsugana@scuole.provincia.tn.it;http://www.icborgovalsugana.edu.it/;tnic812001;https://www.vivoscuola.it/content/view/full/29477;institute
istituto comprensivo borgo valsugana;"scuola primaria ""rita levi montalcini"" borgo valsugana";;a carattere statale/provinciale;luigi vitullo;;;via temanza, 13/c 38051;borgo valsugana;0461/753179;0461/754131;ic.borgovalsugana@pec.provincia.tn.it;dir.ic.borgovalsugana@scuole.provincia.tn.it;segr.ic.borgovalsugana@scuole.provincia.tn.it;http://www.icborgovalsugana.edu.it/;tnee812046;https://www.vivoscuola.it/content/view/full/29477;school
istituto comprensivo borgo valsugana;scuola primaria grigno;;a carattere statale/provinciale;luigi vitullo;;;viale trento, 2 38055;grigno;0461/753179;0461/754131;ic.borgovalsugana@pec.provincia.tn.it;dir.ic.borgovalsugana@scuole.provincia.tn.it;segr.ic.borgovalsugana@scuole.provincia.tn.it;http://www.icborgovalsugana.edu.it/;tnee812024;https://www.vivoscuola.it/content/view/full/29477;school
istituto comprensivo borgo valsugana;"scuola secondaria di primo grado ""ora e veglia"" borgo valsugana";;a carattere statale/provinciale;luigi vitullo;;;via spagolla, 1 38051;borgo valsugana;0461/753179;0461/754131;ic.borgovalsugana@pec.provincia.tn.it;dir.ic.borgovalsugana@scuole.provincia.tn.it;segr.ic.borgovalsugana@scuole.provincia.tn.it;http://www.icborgovalsugana.edu.it/;tnmm812012;https://www.vivoscuola.it/content/view/full/29477;school
istituto comprensivo borgo valsugana;"scuola secondaria di primo grado ""s. fante"" grigno";;a carattere statale/provinciale;luigi vitullo;;;viale trento,   38055;grigno;0461/753179;0461/754131;ic.borgovalsugana@pec.provincia.tn.it;dir.ic.borgovalsugana@scuole.provincia.tn.it;segr.ic.borgovalsugana@scuole.provincia.tn.it;http://www.icborgovalsugana.edu.it/;tnmm812023;https://www.vivoscuola.it/content/view/full/29477;school
istituto comprensivo brentonico;;istituzione scolastica e formativa;a carattere statale/provinciale;enrica rigotti;;;via calzolari - localita fontana, 2 38060;brentonico;0464/395189;0464/392710;ic.brentonico@pec.provincia.tn.it;dir.ic.brentonico@scuole.provincia.tn.it;segr.ic.brentonico@scuole.provincia.tn.it;https://www.icbrentonico.it/;tnic861006;https://www.vivoscuola.it/content/view/full/63288;institute
istituto comprensivo brentonico;scuola primaria brentonico;;a carattere statale/provinciale;enrica rigotti;;;via calzolari - localita fontana, 2 38060;brentonico;0464/395189;0464/392710;ic.brentonico@pec.provincia.tn.it;dir.ic.brentonico@scuole.provincia.tn.it;segr.ic.brentonico@scuole.provincia.tn.it;https://www.icbrentonico.it/;tnee861018;https://www.vivoscuola.it/content/view/full/63288;school
istituto comprensivo brentonico;scuola secondaria di primo grado brentonico;;a carattere statale/provinciale;enrica rigotti;;;via calzolari - localita fontana, 2 38060;brentonico;0464/395189;0464/392710;ic.brentonico@pec.provincia.tn.it;dir.ic.brentonico@scuole.provincia.tn.it;segr.ic.brentonico@scuole.provincia.tn.it;https://www.icbrentonico.it/;tnmm861017;https://www.vivoscuola.it/content/view/full/63288;school
istituto comprensivo cavalese;;istituzione scolastica e formativa;a carattere statale/provinciale;roberto trolli;;;piazza verdi, 6 38033;cavalese;0462/340314;0462/342294;ic.cavalese@pec.provincia.tn.it;dir.cavalese@scuole.provincia.tn.it;segr.cavalese@scuole.provincia.tn.it;https://www.iccavalese.it;tnic809005;https://www.vivoscuola.it/content/view/full/29482;institute
istituto comprensivo cavalese;scuola primaria capriana;;a carattere statale/provinciale;roberto trolli;;;piazza scuole, 1 38030;capriana;0462/340314;0462/342294;ic.cavalese@pec.provincia.tn.it;dir.cavalese@scuole.provincia.tn.it;segr.cavalese@scuole.provincia.tn.it;https://www.iccavalese.it;tnee809017;https://www.vivoscuola.it/content/view/full/29482;school
istituto comprensivo cavalese;scuola primaria carano;;a carattere statale/provinciale;roberto trolli;;;via giovanelli, 2 38033;ville di fiemme;0462/340314;0462/342294;ic.cavalese@pec.provincia.tn.it;dir.cavalese@scuole.provincia.tn.it;segr.cavalese@scuole.provincia.tn.it;https://www.iccavalese.it;tnee809028;https://www.vivoscuola.it/content/view/full/29482;school
istituto comprensivo cavalese;scuola primaria casatta valfloriana;;a carattere statale/provinciale;roberto trolli;;;frazione casatta, 18/a 38040;valfloriana;0462/340314;0462/342294;ic.cavalese@pec.provincia.tn.it;dir.cavalese@scuole.provincia.tn.it;segr.cavalese@scuole.provincia.tn.it;https://www.iccavalese.it;tnee80908e;https://www.vivoscuola.it/content/view/full/29482;school
istituto comprensivo cavalese;scuola primaria castello di fiemme;;a carattere statale/provinciale;roberto trolli;;;via roma, 40 38030;castello-molina di fiemme;0462/340314;0462/342294;ic.cavalese@pec.provincia.tn.it;dir.cavalese@scuole.provincia.tn.it;segr.cavalese@scuole.provincia.tn.it;https://www.iccavalese.it;tnee809039;https://www.vivoscuola.it/content/view/full/29482;school
istituto comprensivo cavalese;scuola primaria cavalese;;a carattere statale/provinciale;roberto trolli;;;largo bosin, 2 38033;cavalese;0462/340314;0462/342294;ic.cavalese@pec.provincia.tn.it;dir.cavalese@scuole.provincia.tn.it;segr.cavalese@scuole.provincia.tn.it;https://www.iccavalese.it;tnee80905b;https://www.vivoscuola.it/content/view/full/29482;school
istituto comprensivo cavalese;scuola primaria masi cavalese;;a carattere statale/provinciale;roberto trolli;;;via damiano chiesa, 110 38033;cavalese;0462/340314;0462/342294;ic.cavalese@pec.provincia.tn.it;dir.cavalese@scuole.provincia.tn.it;segr.cavalese@scuole.provincia.tn.it;https://www.iccavalese.it;tnee80906c;https://www.vivoscuola.it/content/view/full/29482;school
istituto comprensivo cavalese;scuola primaria molina di fiemme;;a carattere statale/provinciale;roberto trolli;;;via segherie, 64/b 38030;castello-molina di fiemme;0462/340314;0462/342294;ic.cavalese@pec.provincia.tn.it;dir.cavalese@scuole.provincia.tn.it;segr.cavalese@scuole.provincia.tn.it;https://www.iccavalese.it;tnee80904a;https://www.vivoscuola.it/content/view/full/29482;school
istituto comprensivo cavalese;scuola primaria varena;;a carattere statale/provinciale;roberto trolli;;;via mercato, 10 38030;ville di fiemme;0462/340314;0462/342294;ic.cavalese@pec.provincia.tn.it;dir.cavalese@scuole.provincia.tn.it;segr.cavalese@scuole.provincia.tn.it;https://www.iccavalese.it;tnee80909g;https://www.vivoscuola.it/content/view/full/29482;school
istituto comprensivo cavalese;"scuola secondaria di primo grado ""g. segantini"" cavalese";;a carattere statale/provinciale;roberto trolli;;;piazza verdi, 6 38033;cavalese;0462/340314;0462/342294;ic.cavalese@pec.provincia.tn.it;dir.cavalese@scuole.provincia.tn.it;segr.cavalese@scuole.provincia.tn.it;https://www.iccavalese.it;tnmm809016;https://www.vivoscuola.it/content/view/full/29482;school
istituto comprensivo cembra;;istituzione scolastica e formativa;a carattere statale/provinciale;stefano chesini;;;via negritelle - cembra, 1 38034;cembra lisignago;0461/683006;0461/682166;ic.cembra@pec.provincia.tn.it;dir.cembra@scuole.provincia.tn.it;segr.cembra@scuole.provincia.tn.it;https://www.iccembra.it;tnic82200g;https://www.vivoscuola.it/content/view/full/29492;institute
istituto comprensivo cembra;"scuola primaria ""don l. milani"" lases";;a carattere statale/provinciale;stefano chesini;;;via principale, 43 38040;lona-lases;0461/683006;0461/682166;ic.cembra@pec.provincia.tn.it;dir.cembra@scuole.provincia.tn.it;segr.cembra@scuole.provincia.tn.it;https://www.iccembra.it;tnee82206v;https://www.vivoscuola.it/content/view/full/29492;school
istituto comprensivo cembra;"scuola primaria ""p. marconi"" faver";;a carattere statale/provinciale;stefano chesini;;;via campagna - faver, 1 38030;altavalle;0461/683006;0461/682166;ic.cembra@pec.provincia.tn.it;dir.cembra@scuole.provincia.tn.it;segr.cembra@scuole.provincia.tn.it;https://www.iccembra.it;tnee82202p;https://www.vivoscuola.it/content/view/full/29492;school
istituto comprensivo cembra;"scuola primaria ""p. sartori"" sover";;a carattere statale/provinciale;stefano chesini;;;piazza s lorenzo, 10 38048;sover;0461/683006;0461/682166;ic.cembra@pec.provincia.tn.it;dir.cembra@scuole.provincia.tn.it;segr.cembra@scuole.provincia.tn.it;https://www.iccembra.it;tnee822081;https://www.vivoscuola.it/content/view/full/29492;school
istituto comprensivo cembra;scuola primaria cembra;;a carattere statale/provinciale;stefano chesini;;;via dei ciclamini - cembra, 1/1 38034;cembra lisignago;0461/683006;0461/682166;ic.cembra@pec.provincia.tn.it;dir.cembra@scuole.provincia.tn.it;segr.cembra@scuole.provincia.tn.it;https://www.iccembra.it;tnee82201n;https://www.vivoscuola.it/content/view/full/29492;school
istituto comprensivo cembra;scuola primaria stedro segonzano;;a carattere statale/provinciale;stefano chesini;;;frazione stedro, 68 38047;segonzano;0461/683006;0461/682166;ic.cembra@pec.provincia.tn.it;dir.cembra@scuole.provincia.tn.it;segr.cembra@scuole.provincia.tn.it;https://www.iccembra.it;tnee82207x;https://www.vivoscuola.it/content/view/full/29492;school
istituto comprensivo cembra;scuola primaria verla giovo;;a carattere statale/provinciale;stefano chesini;;;via dell oratorio, 15 38030;giovo;0461/683006;0461/682166;ic.cembra@pec.provincia.tn.it;dir.cembra@scuole.provincia.tn.it;segr.cembra@scuole.provincia.tn.it;https://www.iccembra.it;tnee82203q;https://www.vivoscuola.it/content/view/full/29492;school
istituto comprensivo cembra;"scuola secondaria di primo grado ""a. vielmetti"" cembra";;a carattere statale/provinciale;stefano chesini;;;via negritelle - cembra, 1 38034;cembra lisignago;0461/683006;0461/682166;ic.cembra@pec.provincia.tn.it;dir.cembra@scuole.provincia.tn.it;segr.cembra@scuole.provincia.tn.it;https://www.iccembra.it;tnmm82201l;https://www.vivoscuola.it/content/view/full/29492;school
istituto comprensivo cembra;scuola secondaria di primo grado stedro segonzano;;a carattere statale/provinciale;stefano chesini;;;frazione scancio, 69 38047;segonzano;0461/683006;0461/682166;ic.cembra@pec.provincia.tn.it;dir.cembra@scuole.provincia.tn.it;segr.cembra@scuole.provincia.tn.it;https://www.iccembra.it;tnmm82202n;https://www.vivoscuola.it/content/view/full/29492;school
istituto comprensivo cembra;scuola secondaria di primo grado verla giovo;;a carattere statale/provinciale;stefano chesini;;;via al grec, 2 38030;giovo;0461/683006;0461/682166;ic.cembra@pec.provincia.tn.it;dir.cembra@scuole.provincia.tn.it;segr.cembra@scuole.provincia.tn.it;https://www.iccembra.it;tnmm82203p;https://www.vivoscuola.it/content/view/full/29492;school
istituto comprensivo centro valsugana;;istituzione scolastica e formativa;a carattere statale/provinciale;loredana montanaro;;;via don meggio, 2/a 38050;roncegno terme;0461/764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnic81300r;https://www.vivoscuola.it/content/view/full/29502;institute
istituto comprensivo centro valsugana;"scuola primaria ""c. corradi"" novaledo";;a carattere statale/provinciale;loredana montanaro;;;piazza municipio, 5 38050;novaledo;0461/764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnee813064;https://www.vivoscuola.it/content/view/full/29502;school
istituto comprensivo centro valsugana;"scuola primaria ""p. martinelli"" roncegno terme";;a carattere statale/provinciale;loredana montanaro;;;via baldessari, 15 38050;roncegno terme;0461/764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnee813075;https://www.vivoscuola.it/content/view/full/29502;school
istituto comprensivo centro valsugana;"scuola primaria ""t. v. gozzer"" castelnuovo";;a carattere statale/provinciale;loredana montanaro;;;piazza municipio, 4 38050;castelnuovo;0461/764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnee81301v;https://www.vivoscuola.it/content/view/full/29502;school
istituto comprensivo centro valsugana;scuola primaria marter;;a carattere statale/provinciale;loredana montanaro;;;via della chiesa, 14 38050;roncegno terme;0461/764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnee813086;https://www.vivoscuola.it/content/view/full/29502;school
istituto comprensivo centro valsugana;scuola primaria ronchi valsugana;;a carattere statale/provinciale;loredana montanaro;;;via marchi, 14 38050;ronchi valsugana;0461/764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnee813109;https://www.vivoscuola.it/content/view/full/29502;school
