"Istituto Principale";Scuola;"Tipo Istituto";"Tipo Gestione";Dirigente;Direttore;"Coordinatore Pedagogico";Indirizzo;Comune;Telefono;Fax;"Email istituto";"Email dirigenza";"Email segreteria";"Sito web";"Codice MIUR"
"Scuola dell'infanzia di Vermiglio";"Scuola dell'Infanzia di Vermiglio";;Paritaria/equiparata;;;"ROBERTA BERTOLAS";"Via di S Pietro, 26 38029";VERMIGLIO;0463-758141;;vermiglio.presidente@fpsm.tn.it;;vermiglio.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Vezzano";;"Scuola dell'infanzia";Paritaria/equiparata;;;"SANDRA CIAPPI";"Via Dante - Vezzano, 24 38070";VALLELAGHI;0461-864918;;vezzano.presidente@fpsm.tn.it;;vezzano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Vezzano";"Scuola dell'Infanzia di Vezzano";;Paritaria/equiparata;;;"SANDRA CIAPPI";"Via Dante - Vezzano, 24 38070";VALLELAGHI;0461-864918;;vezzano.presidente@fpsm.tn.it;;vezzano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Vigo Cavedine";;"Scuola dell'infanzia";Paritaria/equiparata;;;"GIANNA ANGELI";"Via Scuola Materna, 1 38073";CAVEDINE;0461-566061;;vigo.cavedine.presidente@fpsm.tn.it;;vigo.cavedine.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Vigo Cavedine";"Scuola dell'Infanzia di Vigo Cavedine";;Paritaria/equiparata;;;"GIANNA ANGELI";"Via Scuola Materna, 1 38073";CAVEDINE;0461-566061;;vigo.cavedine.presidente@fpsm.tn.it;;vigo.cavedine.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Vigo Lomaso";;"Scuola dell'infanzia";Paritaria/equiparata;;;"LORENZO SANTORUM";"Frazione Vigo Lomaso - Lomaso, 1 38070";"COMANO TERME";0465-701249;;vigo.lomaso.presidente@fpsm.tn.it;;vigo.lomaso.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Vigo Lomaso";"Scuola dell'Infanzia di Vigo Lomaso";;Paritaria/equiparata;;;"LORENZO SANTORUM";"Frazione Vigo Lomaso - Lomaso, 1 38070";"COMANO TERME";0465-701249;;vigo.lomaso.presidente@fpsm.tn.it;;vigo.lomaso.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Vigo di Fassa";;"Scuola dell'infanzia";Paritaria/equiparata;;;"SARA DE ZOLT";"Strada Giuseppe Soraperra - Pozza di Fassa, 4 38036";"SAN GIOVANNI DI FASSA - SEN JAN";0462-763194;;vigo.fassa.presidente@fpsm.tn.it;;vigo.fassa.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Ghiaie di Gardolo";"Scuola dell'Infanzia di Ghiaie di Gardolo";;Paritaria/equiparata;;;"CARMEN FATTORI";"Via del Loghét, 69 38121";TRENTO;0461-990050;;ghiaie.segretario@fpsm.tn.it;;ghiaie.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Grigno";;"Scuola dell'infanzia";Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Via Nazario Sauro, 25 38055";GRIGNO;0461-765333;;grigno.presidente@fpsm.tn.it;;grigno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Grigno";"Scuola dell'Infanzia di Grigno";;Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Via Nazario Sauro, 25 38055";GRIGNO;0461-765333;;grigno.presidente@fpsm.tn.it;;grigno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Ischia di Pergine";;"Scuola dell'infanzia";Paritaria/equiparata;;;"MARIANGELA SIMONCINI";"Piazza delle Nogare, 2 38057";"PERGINE VALSUGANA";0461-532285;;ischia.presidente@fpsm.tn.it;;ischia.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Ischia di Pergine";"Scuola dell'Infanzia di Ischia di Pergine";;Paritaria/equiparata;;;"MARIANGELA SIMONCINI";"Piazza delle Nogare, 2 38057";"PERGINE VALSUGANA";0461-532285;;ischia.presidente@fpsm.tn.it;;ischia.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Lona";;"Scuola dell'infanzia";Paritaria/equiparata;;;"PAMELA TOMASELLI";"Via S Rocco, 14 38040";LONA-LASES;0461-697101;;lona.presidente@fpsm.tn.it;;lona.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Lona";"Scuola dell'Infanzia di Lona";;Paritaria/equiparata;;;"PAMELA TOMASELLI";"Via S Rocco, 14 38040";LONA-LASES;0461-697101;;lona.presidente@fpsm.tn.it;;lona.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Madonna di Campiglio";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ALESSANDRA POMILIO";"Via Serafini - Madonna di Campiglio, 13 38070";"TRE VILLE";0465-442779;"0465 442779";madonna.campiglio.segretario@fpsm.tn.it;;madonna.campiglio.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Madonna di Campiglio";"Scuola dell'Infanzia di Madonna di Campiglio";;Paritaria/equiparata;;;"ALESSANDRA POMILIO";"Via Serafini - Madonna di Campiglio, 13 38070";"TRE VILLE";0465-442779;"0465 442779";madonna.campiglio.segretario@fpsm.tn.it;;madonna.campiglio.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Madrano";"Scuola dell'Infanzia di Madrano";;Paritaria/equiparata;;;"MARIANGELA SIMONCINI";"Via D Oltrefersina, 54 38057";"PERGINE VALSUGANA";0461-552109;;madrano.segretario@fpsm.tn.it;;madrano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Malè";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ROBERTA BERTOLAS";"Via Don Rauzi, 6 38027";MALE';0463-901925;;male.presidente@fpsm.tn.it;;male.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Malè";"Scuola dell'Infanzia di Malè";;Paritaria/equiparata;;;"ROBERTA BERTOLAS";"Via Don Rauzi, 6 38027";MALE';0463-901925;;male.presidente@fpsm.tn.it;;male.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Marter";;"Scuola dell'infanzia";Paritaria/equiparata;;;"PAOLA SANGIORGI";"Piazza S Margherita, 2 38050";"RONCEGNO TERME";0461-764505;;marter.segretario@fpsm.tn.it;;marter.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Marter";"Scuola dell'Infanzia di Marter";;Paritaria/equiparata;;;"PAOLA SANGIORGI";"Piazza S Margherita, 2 38050";"RONCEGNO TERME";0461-764505;;marter.segretario@fpsm.tn.it;;marter.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Martignano ""D. Leone Serafini""";;"Scuola dell'infanzia";Paritaria/equiparata;;;"CARMEN FATTORI";"Via Sabbionare, 3 38121";TRENTO;0461-820233;;martignano.segretario@fpsm.tn.it;;martignano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Martignano ""D. Leone Serafini""";"Scuola dell'Infanzia di Martignano";;Paritaria/equiparata;;;"CARMEN FATTORI";"Via Sabbionare, 3 38121";TRENTO;0461-820233;;martignano.segretario@fpsm.tn.it;;martignano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Massone";;"Scuola dell'infanzia";Paritaria/equiparata;;;"GIANNA ANGELI";"Via Maffei - San Martino, 2 38062";ARCO;0464-517719;;massone.presidente@fpsm.tn.it;;massone.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Massone";"Scuola dell'Infanzia di Massone";;Paritaria/equiparata;;;"GIANNA ANGELI";"Via Maffei - San Martino, 2 38062";ARCO;0464-517719;;massone.presidente@fpsm.tn.it;;massone.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Mechel";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ILARIA MANCINI";"Via Don Luigi Borghesi, 35 38023";CLES;0463-421247;;mechel.presidente@fpsm.tn.it;;mechel.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Mechel";"Scuola dell'Infanzia di Mechel";;Paritaria/equiparata;;;"ILARIA MANCINI";"Via Don Luigi Borghesi, 35 38023";CLES;0463-421247;;mechel.presidente@fpsm.tn.it;;mechel.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Mezzano";;"Scuola dell'infanzia";Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Via IV Novembre, 16 38050";MEZZANO;0439-67027;;mezzano.contabile@fpsm.tn.it;;mezzano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Mezzano";"Scuola dell'Infanzia di Mezzano";;Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Via IV Novembre, 16 38050";MEZZANO;0439-67027;;mezzano.contabile@fpsm.tn.it;;mezzano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Mezzocorona";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ELENA RICCI";"Via S Giovanni Bosco, 4 38016";MEZZOCORONA;0461-603933;;mezzocorona.presidente@fpsm.tn.it;;mezzocorona.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Mezzocorona";"Scuola dell'Infanzia di Mezzocorona";;Paritaria/equiparata;;;"ELENA RICCI";"Via S Giovanni Bosco, 4 38016";MEZZOCORONA;0461-603933;;mezzocorona.presidente@fpsm.tn.it;;mezzocorona.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Mezzolombardo";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ELENA RICCI";"Corso del Popolo, 34/B 38017";MEZZOLOMBARDO;0461-601324;;mezzolombardo.presidente@fpsm.tn.it;;mezzolombardo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Mezzolombardo";"Scuola dell'Infanzia di Mezzolombardo";;Paritaria/equiparata;;;"ELENA RICCI";"Corso del Popolo, 34/B 38017";MEZZOLOMBARDO;0461-601324;;mezzolombardo.presidente@fpsm.tn.it;;mezzolombardo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Moena";;"Scuola dell'infanzia";Paritaria/equiparata;;;"SARA DE ZOLT";"Strada don Giovanni Jori, 10 38035";"MOENA - MOENA";0462-573277;;moena.presidente@fpsm.tn.it;;moena.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Moena";"Scuola dell'Infanzia di Moena";;Paritaria/equiparata;;;"SARA DE ZOLT";"Strada don Giovanni Jori, 10 38035";"MOENA - MOENA";0462-573277;;moena.presidente@fpsm.tn.it;;moena.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Mollaro";;"Scuola dell'infanzia";Paritaria/equiparata;;;"UTE PANCHER";"Via Della Pausa - Mollaro, 1 38012";PREDAIA;0463-469224;;mollaro.contabile@fpsm.tn.it;;mollaro.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Mollaro";"Scuola dell'Infanzia di Mollaro";;Paritaria/equiparata;;;"UTE PANCHER";"Via Della Pausa - Mollaro, 1 38012";PREDAIA;0463-469224;;mollaro.contabile@fpsm.tn.it;;mollaro.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Molveno";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ELENA RICCI";"Piazza S Carlo, 20 38018";MOLVENO;0461-586969;;molveno.presidente@fpsm.tn.it;;molveno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Molveno";"Scuola dell'Infanzia di Molveno";;Paritaria/equiparata;;;"ELENA RICCI";"Piazza S Carlo, 20 38018";MOLVENO;0461-586969;;molveno.presidente@fpsm.tn.it;;molveno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Montesover";;"Scuola dell'infanzia";Paritaria/equiparata;;;"PAMELA TOMASELLI";"Via Capitano Santuari, 1 38048";SOVER;0461-698351;;sover.presidente@fpsm.tn.it;;sover.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Montesover";"Scuola dell'Infanzia di Montesover";;Paritaria/equiparata;;;"PAMELA TOMASELLI";"Via Capitano Santuari, 1 38048";SOVER;0461-698351;;sover.presidente@fpsm.tn.it;;sover.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Mori";;"Scuola dell'infanzia";Paritaria/equiparata;;;"SILVANO MEDVES";"Via Scuole, 3 38065";MORI;0464-918156;;mori.segretario@fpsm.tn.it;;mori.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Mori";"Scuola dell'Infanzia di Mori";;Paritaria/equiparata;;;"SILVANO MEDVES";"Via Scuole, 3 38065";MORI;0464-918156;;mori.segretario@fpsm.tn.it;;mori.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Nago";;"Scuola dell'infanzia";Paritaria/equiparata;;;"LUISA FONTANARI";"Localita Tezze - Nago,   38069";NAGO-TORBOLE;0464-506097;;nago.segretario@fpsm.tn.it;;nago.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Nago";"Scuola dell'Infanzia di Nago";;Paritaria/equiparata;;;"LUISA FONTANARI";"Localita Tezze - Nago,   38069";NAGO-TORBOLE;0464-506097;;nago.segretario@fpsm.tn.it;;nago.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Nave San Rocco";;"Scuola dell'infanzia";Paritaria/equiparata;;;"PAMELA TOMASELLI";"Via IV Novembre, 34/A 38010";"TERRE D'ADIGE";0461-870656;;nave.presidente@fpsm.tn.it;;nave.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Ronzo-Chienis";;"Scuola dell'infanzia";Paritaria/equiparata;;;"SILVANO MEDVES";"Via Del Car, 40 38060";RONZO-CHIENIS;0464-802944;;ronzo.chienis.presidente@fpsm.tn.it;;ronzo.chienis.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Ronzo-Chienis";"Scuola dell'Infanzia di Ronzo-Chienis";;Paritaria/equiparata;;;"SILVANO MEDVES";"Via Del Car, 40 38060";RONZO-CHIENIS;0464-802944;;ronzo.chienis.presidente@fpsm.tn.it;;ronzo.chienis.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Rovereto ""Rosmini""";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ROBERTA MEDEGHINI";"Corso Rosmini, 3 38068";ROVERETO;0464-421541;;rovereto.rosmini.presidente@fpsm.tn.it;;rovereto.rosmini.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di S. Croce Bleggio";;"Scuola dell'infanzia";Paritaria/equiparata;;;"LORENZO SANTORUM";"Frazione Santa Croce di Bleggio Inferiore, 7 38070";"COMANO TERME";0465-779900;;s.croce.presidente@fpsm.tn.it;;s.croce.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di S. Croce Bleggio";"Scuola dell'Infanzia di S. Croce Bleggio";;Paritaria/equiparata;;;"LORENZO SANTORUM";"Frazione Santa Croce di Bleggio Inferiore, 7 38070";"COMANO TERME";0465-779900;;s.croce.presidente@fpsm.tn.it;;s.croce.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di S. Lorenzo in Banale";;"Scuola dell'infanzia";Paritaria/equiparata;;;"LORENZO SANTORUM";"Strada del Toat - San Lorenzo, 4 38078";"SAN LORENZO DORSINO";0465-734005;;san.lorenzo.banale.segretario@fpsm.tn.it;;san.lorenzo.banale.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di S. Lorenzo in Banale";"Scuola dell'Infanzia di S. Lorenzo In Banale";;Paritaria/equiparata;;;"LORENZO SANTORUM";"Strada del Toat - San Lorenzo, 4 38078";"SAN LORENZO DORSINO";0465-734005;;san.lorenzo.banale.segretario@fpsm.tn.it;;san.lorenzo.banale.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di S. Margherita di Ala";;"Scuola dell'infanzia";Paritaria/equiparata;;;"FRANCESCA VARESCHI";"Via Gazzoletti - Santa Margherita, 35 38061";ALA;0464-696494;;s.margherita.presidente@fpsm.tn.it;;s.margherita.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di S. Margherita di Ala";"Scuola dell'Infanzia di S. Margherita di Ala";;Paritaria/equiparata;;;"FRANCESCA VARESCHI";"Via Gazzoletti - Santa Margherita, 35 38061";ALA;0464-696494;;s.margherita.presidente@fpsm.tn.it;;s.margherita.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Sabbionara";;"Scuola dell'infanzia";Paritaria/equiparata;;;"FRANCESCA VARESCHI";"Piazza Conciliazione, 3/B 38063";AVIO;0464-683225;;sabbionara.presidente@fpsm.tn.it;;sabbionara.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Sabbionara";"Scuola dell'Infanzia di Sabbionara";;Paritaria/equiparata;;;"FRANCESCA VARESCHI";"Piazza Conciliazione, 3/B 38063";AVIO;0464-683225;;sabbionara.presidente@fpsm.tn.it;;sabbionara.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di San Martino di C.";;"Scuola dell'infanzia";Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Via Laghetto - San Martino Di Castrozza, 30 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439-768666;;s.martino.castrozza.presidente@fpsm.tn.it;;s.martino.castrozza.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di San Martino di C.";"Scuola dell'Infanzia di San Martino di C.";;Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Via Laghetto - San Martino Di Castrozza, 30 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439-768666;;s.martino.castrozza.presidente@fpsm.tn.it;;s.martino.castrozza.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Sarche";;"Scuola dell'infanzia";Paritaria/equiparata;;;"GIANNA ANGELI";"Via Caffaro - Sarche - Calavino, 6 38076";MADRUZZO;0461-564028;;sarche.presidente@fpsm.tn.it;;sarche.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Sarche";"Scuola dell'Infanzia di Sarche";;Paritaria/equiparata;;;"GIANNA ANGELI";"Via Caffaro - Sarche - Calavino, 6 38076";MADRUZZO;0461-564028;;sarche.presidente@fpsm.tn.it;;sarche.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Scurelle";;"Scuola dell'infanzia";Paritaria/equiparata;;;"PAOLA SANGIORGI";"Via Visintainer, 15 38050";SCURELLE;0461-762268;;scurelle.presidente@fpsm.tn.it;;scurelle.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Scurelle";"Scuola dell'Infanzia di Scurelle";;Paritaria/equiparata;;;"PAOLA SANGIORGI";"Via Visintainer, 15 38050";SCURELLE;0461-762268;;scurelle.presidente@fpsm.tn.it;;scurelle.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Segno";;"Scuola dell'infanzia";Paritaria/equiparata;;;"UTE PANCHER";"Via Sonora - Segno - Taio, 18 38012";PREDAIA;0463-468064;;segno.presidente@fpsm.tn.it;;segno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Segno";"Scuola dell'Infanzia di Segno";;Paritaria/equiparata;;;"UTE PANCHER";"Via Sonora - Segno - Taio, 18 38012";PREDAIA;0463-468064;;segno.presidente@fpsm.tn.it;;segno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Segonzano";;"Scuola dell'infanzia";Paritaria/equiparata;;;"PAMELA TOMASELLI";"Frazione Stedro, 80 38047";SEGONZANO;327-3311981;;segonzano.presidente@fpsm.tn.it;;segonzano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Segonzano";"Scuola dell'Infanzia di Segonzano";;Paritaria/equiparata;;;"PAMELA TOMASELLI";"Frazione Stedro, 80 38047";SEGONZANO;327-3311981;;segonzano.presidente@fpsm.tn.it;;segonzano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Serravalle";;"Scuola dell'infanzia";Paritaria/equiparata;;;"FRANCESCA VARESCHI";"Via Ingenger Tomasi - Serravalle, 5 38061";ALA;0464-696304;;serravalle.presidente@fpsm.tn.it;;serravalle.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Serravalle";"Scuola dell'Infanzia di Serravalle";;Paritaria/equiparata;;;"FRANCESCA VARESCHI";"Via Ingenger Tomasi - Serravalle, 5 38061";ALA;0464-696304;;serravalle.presidente@fpsm.tn.it;;serravalle.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Smarano";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ILARIA MANCINI";"Via Torre - Smarano, 6 38012";PREDAIA;0463-536702;;smarano.presidente@fpsm.tn.it;;smarano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Smarano";"Scuola dell'Infanzia di Smarano";;Paritaria/equiparata;;;"ILARIA MANCINI";"Via Torre - Smarano, 6 38012";PREDAIA;0463-536702;;smarano.presidente@fpsm.tn.it;;smarano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Sopramonte";;"Scuola dell'infanzia";Paritaria/equiparata;;;"CARMEN FATTORI";"Via Canelli - Sopramonte, 5 38123";TRENTO;0461-867021;;sopramonte.presidente@fpsm.tn.it;;sopramonte.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Sopramonte";"Scuola dell'Infanzia di Sopramonte";;Paritaria/equiparata;;;"CARMEN FATTORI";"Via Canelli - Sopramonte, 5 38123";TRENTO;0461-867021;;sopramonte.presidente@fpsm.tn.it;;sopramonte.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Spiazzo Rendena";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ALESSANDRA POMILIO";"Via S Vigilio, 5 38088";SPIAZZO;0465-801326;;spiazzo.rendena.contabile@fpsm.tn.it;;spiazzo.rendena.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Spiazzo Rendena";"Scuola dell'Infanzia di Spiazzo Rendena";;Paritaria/equiparata;;;"ALESSANDRA POMILIO";"Via S Vigilio, 5 38088";SPIAZZO;0465-801326;;spiazzo.rendena.contabile@fpsm.tn.it;;spiazzo.rendena.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Stenico";;"Scuola dell'infanzia";Paritaria/equiparata;;;"LORENZO SANTORUM";"Piazza Dante, 15 38070";STENICO;0465-771019;;stenico.presidente@fpsm.tn.it;;stenico.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Stenico";"Scuola dell'Infanzia di Stenico";;Paritaria/equiparata;;;"LORENZO SANTORUM";"Piazza Dante, 15 38070";STENICO;0465-771019;;stenico.presidente@fpsm.tn.it;;stenico.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Strigno";;"Scuola dell'infanzia";Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Piazza IV Novembre - Strigno, 11 38059";"CASTEL IVANO";0461-762327;;strigno.presidente@fpsm.tn.it;;strigno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Strigno";"Scuola dell'Infanzia di Strigno";;Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Piazza IV Novembre - Strigno, 11 38059";"CASTEL IVANO";0461-762327;;strigno.presidente@fpsm.tn.it;;strigno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Susà";;"Scuola dell'infanzia";Paritaria/equiparata;;;"MARIANGELA SIMONCINI";"Via Dell Asilo, 5 38057";"PERGINE VALSUGANA";0461-538471;;susa.presidente@fpsm.tn.it;;susa.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Susà";"Scuola dell'Infanzia di Susà";;Paritaria/equiparata;;;"MARIANGELA SIMONCINI";"Via Dell Asilo, 5 38057";"PERGINE VALSUGANA";0461-538471;;susa.presidente@fpsm.tn.it;;susa.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Carano";"Scuola dell'Infanzia di Carano";;Paritaria/equiparata;;;"TIZIANA CEOL";"Via Giovanelli, 40 38033";"VILLE DI FIEMME";0462-341759;;carano.presidente@fpsm.tn.it;;carano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Carisolo";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ALESSANDRA POMILIO";"Viale Trento, 4 38080";CARISOLO;0465-501433;;carisolo.presidente@fpsm.tn.it;;carisolo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Carisolo";"Scuola dell'Infanzia di Carisolo";;Paritaria/equiparata;;;"ALESSANDRA POMILIO";"Viale Trento, 4 38080";CARISOLO;0465-501433;;carisolo.presidente@fpsm.tn.it;;carisolo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Casez";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ILARIA MANCINI";"Via della Pontara - Casez, 10 38010";SANZENO;0463-434219;;casez.presidente@fpsm.tn.it;;casez.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Casez";"Scuola dell'Infanzia di Casez";;Paritaria/equiparata;;;"ILARIA MANCINI";"Via della Pontara - Casez, 10 38010";SANZENO;0463-434219;;casez.presidente@fpsm.tn.it;;casez.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Castellano";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ROBERTA MEDEGHINI";"Via Caduti, 1 38060";"VILLA LAGARINA";0464-801242;;castellano.presidente@fpsm.tn.it;;castellano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Castellano";"Scuola dell'Infanzia di Castellano";;Paritaria/equiparata;;;"ROBERTA MEDEGHINI";"Via Caduti, 1 38060";"VILLA LAGARINA";0464-801242;;castellano.presidente@fpsm.tn.it;;castellano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Castello Di Fiemme";;"Scuola dell'infanzia";Paritaria/equiparata;;;"TIZIANA CEOL";"Via Latemar, 2 38030";"CASTELLO-MOLINA DI FIEMME";0462-341153;;castello.fiemme.segretario@fpsm.tn.it;;castello.fiemme.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Castello Di Fiemme";"Scuola dell'Infanzia di Castello Di Fiemme";;Paritaria/equiparata;;;"TIZIANA CEOL";"Via Latemar, 2 38030";"CASTELLO-MOLINA DI FIEMME";0462-341153;;castello.fiemme.segretario@fpsm.tn.it;;castello.fiemme.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Cavedine";;"Scuola dell'infanzia";Paritaria/equiparata;;;"GIANNA ANGELI";"Via IV Novembre, 19 38073";CAVEDINE;0461-568548;;cavedine.presidente@fpsm.tn.it;;cavedine.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Cavedine";"Scuola dell'Infanzia di Cavedine";;Paritaria/equiparata;;;"GIANNA ANGELI";"Via IV Novembre, 19 38073";CAVEDINE;0461-568548;;cavedine.presidente@fpsm.tn.it;;cavedine.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Cembra";;"Scuola dell'infanzia";Paritaria/equiparata;;;"PAMELA TOMASELLI";"Piazza Zanotelli - Cembra, 1 38034";"CEMBRA LISIGNAGO";0461-680173;;cembra.presidente@fpsm.tn.it;;cembra.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Cembra";"Scuola dell'Infanzia di Cembra";;Paritaria/equiparata;;;"PAMELA TOMASELLI";"Piazza Zanotelli - Cembra, 1 38034";"CEMBRA LISIGNAGO";0461-680173;;cembra.presidente@fpsm.tn.it;;cembra.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Chizzola";;"Scuola dell'infanzia";Paritaria/equiparata;;;"FRANCESCA VARESCHI";"Via Canestrini - Chizzola, 1 38061";ALA;0464-696397;;chizzola.presidente@fpsm.tn.it;;chizzola.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Chizzola";"Scuola dell'Infanzia di Chizzola";;Paritaria/equiparata;;;"FRANCESCA VARESCHI";"Via Canestrini - Chizzola, 1 38061";ALA;0464-696397;;chizzola.presidente@fpsm.tn.it;;chizzola.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Cles";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ILARIA MANCINI";"Via Mattioli, 13 38023";CLES;0463-625164;;cles.presidente@fpsm.tn.it;;cles.segretario@fpsm.tn.it;;
