main institute;institute type;administration type;manager;director;educational coordinator;address;municipality;telephone;fax;institute email;management email;secretary's office email;website;miur code;vivoscuola institute link;wikipedia municipality link
istituto comprensivo rovereto sud;istituzione scolastica e formativa;a carattere statale/provinciale;giuseppe gammino;;;via benacense, 32 38068;rovereto;0464420532;0464/432707;ic.roveretosud@pec.provincia.tn.it;dir.ic.roveretosud@scuole.provincia.tn.it;segr.ic.roveretosud@scuole.provincia.tn.it;https://icroveretosud.edu.it;tnic85500v;https://www.vivoscuola.it/content/view/full/29647;https://it.wikipedia.org/wiki/Rovereto
istituto comprensivo strigno e tesino;istituzione scolastica e formativa;a carattere statale/provinciale;giuliana sighel;;;via roma - strigno, 14 38059;castel ivano;0461762046;0461/763409;ic.strignotesino@pec.provincia.tn.it;dir.ic.strignoetesino@scuole.provincia.tn.it;segr.ic.strignoetesino@scuole.provincia.tn.it;https://www.icstrignoetesino.it;tnic80100e;https://www.vivoscuola.it/content/view/full/29652;https://it.wikipedia.org/wiki/Castel_Ivano_(comune)
istituto comprensivo taio;istituzione scolastica e formativa;a carattere statale/provinciale;maura zini;;;via degli alpini - taio, 17 38012;predaia;0463468193;0463/467616;ic.taio@pec.provincia.tn.it;dir.ictaio@scuole.provincia.tn.it;segr.ictaio@scuole.provincia.tn.it;https://www.ictaio.it;tnic82600v;https://www.vivoscuola.it/content/view/full/29661;https://it.wikipedia.org/wiki/Predaia
istituto comprensivo tione;istituzione scolastica e formativa;a carattere statale/provinciale;alessandro bonesini;;;via circonvallazione, 44 38079;tione di trento;0465321053;0465/324039;ic.tione@pec.provincia.tn.it;dir.ictione@scuole.provincia.tn.it;segr.ictione@scuole.provincia.tn.it;https://www.ictione.tn.it;tnic83600d;https://www.vivoscuola.it/content/view/full/29667;https://it.wikipedia.org/wiki/Tione_di_Trento
"istituto comprensivo trento 1 ""margherita hack""";istituzione scolastica e formativa;a carattere statale/provinciale;piera pegoretti;;;via znojmo, 24 38123;trento;0461912740;0461/912065;ic.trento1@pec.provincia.tn.it;dir.ic.tn1@scuole.provincia.tn.it;segr.ic.tn1@scuole.provincia.tn.it;https://www.ictrento1.it;tnic81900q;https://www.vivoscuola.it/content/view/full/29675;https://it.wikipedia.org/wiki/Trento
"istituto comprensivo trento 2 ""j. a. comenius""";istituzione scolastica e formativa;a carattere statale/provinciale;carlo zanetti;;;via ponte alto, 2/1 38121;trento;0461982113;0461/237554;ic.comenius@pec.provincia.tn.it;dir.ictn2@scuole.provincia.tn.it;segr.ictn2@scuole.provincia.tn.it;https://www.icomenius.it;tnic82000x;https://www.vivoscuola.it/content/view/full/29679;https://it.wikipedia.org/wiki/Trento
istituto comprensivo trento 3;istituzione scolastica e formativa;a carattere statale/provinciale;lina broch;;;via vittorio veneto, 61 38122;trento;04611825610;0461/920605;ic.trento3@pec.provincia.tn.it;dir.ic.tn3@scuole.provincia.tn.it;segr.ic.tn3@scuole.provincia.tn.it;http://www.ictrento3.it;tnic85600p;https://www.vivoscuola.it/content/view/full/29685;https://it.wikipedia.org/wiki/Trento
istituto comprensivo trento 4;istituzione scolastica e formativa;a carattere statale/provinciale;elena  valduga;;;viale degli olmi, 22 38123;trento;0461920316;0461/922030;ic.trento4@pec.provincia.tn.it;dir.ictn4@scuole.provincia.tn.it;segr.ictn4@scuole.provincia.tn.it;https://www.ictrento4.it;tnic85700e;https://www.vivoscuola.it/content/view/full/29691;https://it.wikipedia.org/wiki/Trento
istituto comprensivo trento 5;istituzione scolastica e formativa;a carattere statale/provinciale;paola pasqualin;;;via s giovanni bosco, 8 38122;trento;0461986634;0461/984463;ic.tn5@pec.provincia.tn.it;dir.ic.tn5@scuole.provincia.tn.it;segr.ic.tn5@scuole.provincia.tn.it;http://www.istitutotrento5.it/;tnic85200b;https://www.vivoscuola.it/content/view/full/29697;https://it.wikipedia.org/wiki/Trento
istituto comprensivo trento 6;istituzione scolastica e formativa;a carattere statale/provinciale;chiara ghetta;;;corso buonarroti, 50 38122;trento;0461236214;0461/230583;ic.trento6@pec.provincia.tn.it;dir.ic.tn6@scuole.provincia.tn.it;segr.ic.tn6@scuole.provincia.tn.it;https://www.ictrento6.it;tnic85800a;https://www.vivoscuola.it/content/view/full/29703;https://it.wikipedia.org/wiki/Trento
"istituto comprensivo trento 7 ""rita levi montalcini""";istituzione scolastica e formativa;a carattere statale/provinciale;laura de donno;;;via iv novembre, 35/1 38121;trento;0461990287;0461/994418;ic.trento7@pec.provincia.tn.it;dir.ic.tn7@scuole.provincia.tn.it;segr.ic.tn7@scuole.provincia.tn.it;https://www.trento7.it;tnic85100g;https://www.vivoscuola.it/content/view/full/29711;https://it.wikipedia.org/wiki/Trento
istituto comprensivo val rendena;istituzione scolastica e formativa;a carattere statale/provinciale;giuseppe prigiotti;;;viale della pace, 10 38086;pinzolo;0465501139;0465/512119;ic.valrendena@pec.provincia.tn.it;dir.ic.valrendena@scuole.provincia.tn.it;segr.ic.valrendena@scuole.provincia.tn.it;https://www.icvalrendena.edu.it;tnic83400t;https://www.vivoscuola.it/content/view/full/29717;https://it.wikipedia.org/wiki/Pinzolo
istituto comprensivo valle dei laghi - dro;istituzione scolastica e formativa;a carattere statale/provinciale;alessandro fabris;;;via roma - vezzano, 3 38070;vallelaghi;0461864026;0461/340648;ic.valledeilaghi@pec.provincia.tn.it;dir.ic.valledeilaghi@scuole.provincia.tn.it;segr.ic.valledeilaghi@scuole.provincia.tn.it;https://www.icvalledeilaghidro.it;tnic84400c;https://www.vivoscuola.it/content/view/full/29728;https://it.wikipedia.org/wiki/Vallelaghi
istituto comprensivo valle di ledro;istituzione scolastica e formativa;a carattere statale/provinciale;massimo amistadi;;;via falcone e borsellino - bezzecca, 2 38067;ledro;0464592800;0464/592819;ic.vallediledro@pec.provincia.tn.it;dir.ic.bezzecca@scuole.provincia.tn.it;segr.ic.bezzecca@scuole.provincia.tn.it;https://www.icvallediledro.it;tnic80600n;https://www.vivoscuola.it/content/view/full/29740;https://it.wikipedia.org/wiki/Ledro
istituto comprensivo vigolo vattaro;istituzione scolastica e formativa;a carattere statale/provinciale;gabriella vitale;;;via garibaldi - vigolo vattaro, 8 38049;altopiano della vigolana;0461848878;0461/845217;ic.vigolovattaro@pec.provincia.tn.it;dir.vigolovattaro@scuole.provincia.tn.it;segr.vigolovattaro@scuole.provincia.tn.it;https://www.icvigolovattaro.it;tnic803006;https://www.vivoscuola.it/content/view/full/29745;https://it.wikipedia.org/wiki/Altopiano_della_Vigolana
istituto comprensivo villa lagarina;istituzione scolastica e formativa;a carattere statale/provinciale;tiziana chemotti;;;via stockstadt am rhein, 3 38060;villa lagarina;0464411312;0464/411705;ic.villalagarina@pec.provincia.tn.it;dir.ic.villalagarina@scuole.provincia.tn.it;segr.ic.villalagarina@scuole.provincia.tn.it;https://www.icvillalagarina.it;tnic846004;https://www.vivoscuola.it/content/view/full/29750;https://it.wikipedia.org/wiki/Villa_Lagarina
"istituto di formazione professionale alberghiero ""giuseppe cipriani""- levico";istituzione scolastica e formativa;a carattere statale/provinciale;lucia russo;targa walter;;via ziehl, 5 38056;levico terme;0461706294;0461/702025;ifpa.levicoterme@pec.provincia.tn.it;dir.ifpa.levicoterme@scuole.provincia.tn.it;segr.ifpa.levicoterme@scuole.provincia.tn.it;https://www.alberghierolevico.it;tncf010001;https://www.vivoscuola.it/content/view/full/29858;https://it.wikipedia.org/wiki/Levico_Terme
istituto di formazione professionale alberghiero - rovereto;istituzione scolastica e formativa;a carattere statale/provinciale;vito rovigo;cazzani daniela;;viale dei colli, 17 38068;rovereto;0464439164;0464/435851;ifpa.rovereto@pec.provincia.tn.it;dir.ifpa.rovereto@scuole.provincia.tn.it;segr.ifpa.rovereto@scuole.provincia.tn.it;https://www.alberghierorovereto.it;tncf011001;https://www.vivoscuola.it/content/view/full/29861;https://it.wikipedia.org/wiki/Rovereto
"istituto di formazione professionale servizi alla persona e legno ""s. pertini"" ";istituzione scolastica e formativa;a carattere statale/provinciale;maria rita magistro;maria rita magistro;;viale verona, 141 38123;trento;0461933147;0461/931682;ifp.trento@pec.provincia.tn.it;ifp.trento@scuole.provincia.tn.it;ifp.trento@scuole.provincia.tn.it;https://ifpsandropertinitrento.it;tncf012001;https://www.vivoscuola.it/content/view/full/29864;https://it.wikipedia.org/wiki/Trento
"istituto di istruzione ""a. degasperi"" - borgo valsugana";istituzione scolastica e formativa;a carattere statale/provinciale;giulio bertoldi;;;via xxiv maggio, 7 38051;borgo valsugana;0461753647;0461/753364;degasperi@pec.provincia.tn.it;dir.istalcidedegasperi@scuole.provincia.tn.it;segr.istalcidedegasperi@scuole.provincia.tn.it;https://www.istalcidedegasperi.it;tnis00200e;https://www.vivoscuola.it/content/view/full/29760;https://it.wikipedia.org/wiki/Borgo_Valsugana
"istituto di istruzione ""don l.milani"" - rovereto";istituzione scolastica e formativa;a carattere statale/provinciale;maria teresa dosso;;;via balista, 2 38068;rovereto;0464485511;0464/485550;donmilani@pec.provincia.tn.it;dir.donmilani@scuole.provincia.tn.it;segr.donmilani@scuole.provincia.tn.it;www.domir.edu.it;tnis009009;https://www.vivoscuola.it/content/view/full/29809;https://it.wikipedia.org/wiki/Rovereto
"istituto di istruzione ""l. guetti"" - tione di trento";istituzione scolastica e formativa;a carattere statale/provinciale;renato paoli;;;via durone, 53 38079;tione di trento;0465321735;0465/322811;guetti@pec.provincia.tn.it;dir.guetti@scuole.provincia.tn.it;segr.guetti@scuole.provincia.tn.it;https://www.guetti.tn.it;tnis00700n;https://www.vivoscuola.it/content/view/full/29771;https://it.wikipedia.org/wiki/Tione_di_Trento
"istituto di istruzione ""la rosa bianca"" - cavalese";istituzione scolastica e formativa;a carattere statale/provinciale;marco felicetti;;;via gandhi, 1 38033;cavalese;0462341449;0462/248071;weisserose@pec.provincia.tn.it;dir.iicavalese@scuole.provincia.tn.it;segr.iicavalese@scuole.provincia.tn.it;https://www.scuolefiemme.tn.it;tnis00100p;https://www.vivoscuola.it/content/view/full/29781;https://it.wikipedia.org/wiki/Cavalese
"istituto di istruzione ""m. curie"" - pergine valsugana";istituzione scolastica e formativa;a carattere statale/provinciale;tiziana gulli;;;via s pietro, 4 38057;pergine valsugana;0461511397;0461/531743;curie@pec.provincia.tn.it;dir.curie.pergine@scuole.provincia.tn.it;segr.curie.pergine@scuole.provincia.tn.it;https://www.curiepergine.it;tnis004006;https://www.vivoscuola.it/content/view/full/29790;https://it.wikipedia.org/wiki/Pergine_Valsugana
"istituto di istruzione ""m. martini"" - mezzolombardo";istituzione scolastica e formativa;a carattere statale/provinciale;valentina zanolla;;;via perlasca, 4 38017;mezzolombardo;0461601122;0461/601470;martini@pec.provincia.tn.it;dir.martini.mezzolombardo@scuole.provincia.tn.it;segr.martini.mezzolombardo@scuole.provincia.tn.it;https://www.martinomartini.eu;tnis00300a;https://www.vivoscuola.it/content/view/full/29801;https://it.wikipedia.org/wiki/Mezzolombardo
istituto gardascuola;istituzione scolastica e formativa;paritaria/equiparata;lorenzo angeli;;;via xxiv maggio, 1 38062;arco;0464519546;0464/519959;gardascuola@pec.cooperazionetrentina.it;;segreteria@gardascuola.it;https://www.gardascuola.it;;https://www.vivoscuola.it/content/view/full/29412;https://it.wikipedia.org/wiki/Arco_(Italia)
istituto sacro cuore - trento;istituzione scolastica e formativa;paritaria/equiparata;alberto ventroni;;;piazza s teresa verzeri, 4 38122;trento;0461981465;0461/982734;;;istitutocomprensivo@istitutosacrocuore.it;https://www.istitutosacrocuore.it;;https://www.vivoscuola.it/content/view/full/29820;https://it.wikipedia.org/wiki/Trento
istituto salesiano maria ausiliatrice - trento;istituzione scolastica e formativa;paritaria/equiparata;lara pisetta;;;via barbacovi, 22 38122;trento;0461885555;;sdbtrento@pcert.postecert.it;;segreteria@sdbtrento.it;https://www.sdbtrento.it;;https://www.vivoscuola.it/content/view/full/29827;https://it.wikipedia.org/wiki/Trento
istituto salesiano s. croce - mezzano;istituzione scolastica e formativa;paritaria/equiparata;agostino pradel;;;via molaren, 29 38050;mezzano;0439762019;0439/762664;salesianimezzano@pec.it;;segreteria@sdbmezzano.it;https://www.salesianimezzano.it;;https://www.vivoscuola.it/content/view/full/29829;https://it.wikipedia.org/wiki/Mezzano_(comune)
"istituto tecnico economico ""a. tambosi"" - trento";istituzione scolastica e formativa;a carattere statale/provinciale;andrea bezzi;;;via brigata acqui, 19 38122;trento;0461239955;0461230175;tambosibattisti@pec.provincia.tn.it;dir.tambositn@scuole.provincia.tn.it;segr.tambositn@scuole.provincia.tn.it;https://tambosi.tn.it;tntd18000t;https://www.vivoscuola.it/content/view/full/29832;https://it.wikipedia.org/wiki/Trento
"istituto tecnico economico e tecnologico ""c.a. pilati"" - cles";istituzione scolastica e formativa;a carattere statale/provinciale;alfredo romantini;;;via iv novembre, 35 38023;cles;0463421695;0463/421477;pilati@pec.provincia.tn.it;dir.itetpilati@scuole.provincia.tn.it;segr.itetpilati@scuole.provincia.tn.it;https://www.istitutopilati.it;tntd100001;https://www.vivoscuola.it/content/view/full/29835;https://it.wikipedia.org/wiki/Cles
"istituto tecnico economico e tecnologico ""f. e g. fontana"" - rovereto";istituzione scolastica e formativa;a carattere statale/provinciale;giuseppe santoli;;;via del teatro, 4 38068;rovereto;0464436100;0464/434116;fontana@pec.provincia.tn.it;dir.fontana@scuole.provincia.tn.it;segr.fontana@scuole.provincia.tn.it;https://www.fgfontana.eu;tntd020009;https://www.vivoscuola.it/content/view/full/29841;https://it.wikipedia.org/wiki/Rovereto
"istituto tecnico economico e tecnologico ""g. floriani"" - riva del garda";istituzione scolastica e formativa;a carattere statale/provinciale;paolo chincarini;;;viale dei tigli, 43 38066;riva del garda;0464578511;0464/578555;floriani@pec.provincia.tn.it;dir.istitutofloriani@scuole.provincia.tn.it;segr.istitutofloriani@scuole.provincia.tn.it;https://www.g-floriani.it;tnis00800d;https://www.vivoscuola.it/content/view/full/29846;https://it.wikipedia.org/wiki/Riva_del_Garda
"istituto tecnico tecnologico ""g. marconi"" - rovereto";istituzione scolastica e formativa;a carattere statale/provinciale;daniela depentori;;;via monti, 1 38068;rovereto;0464411400;0464/419130;marconi@pec.provincia.tn.it;dir.itimarconi@scuole.provincia.tn.it;segr.itimarconi@scuole.provincia.tn.it;https://www.marconirovereto.it;tntf02000g;https://www.vivoscuola.it/content/view/full/29852;https://it.wikipedia.org/wiki/Rovereto
"istituto tecnico tecnologico ""m. buonarroti"" - trento";istituzione scolastica e formativa;a carattere statale/provinciale;tiziana rossi;;;via brigata acqui, 15 38122;trento;0461216811;0461/984216;buonarroti@pec.provincia.tn.it;dir.buonarroti@scuole.provincia.tn.it;istituto.tecnico@buonarroti.tn.it;https://www.buonarroti.tn.it/;tnis013001;https://www.vivoscuola.it/content/view/full/29855;https://it.wikipedia.org/wiki/Trento
"liceo ""a. maffei"" - riva del garda";istituzione scolastica e formativa;a carattere statale/provinciale;roberta bisoffi;;;via alberti lutti, 7 38066;riva del garda;0464552316;0464/552316;maffei@pec.provincia.tn.it;dir.liceo.maffei@scuole.provincia.tn.it;segr.liceo.maffei@scuole.provincia.tn.it;https://e.liceomaffei.it;tnpc01000q;https://www.vivoscuola.it/content/view/full/29869;https://it.wikipedia.org/wiki/Riva_del_Garda
"liceo ""a. rosmini"" - rovereto";istituzione scolastica e formativa;a carattere statale/provinciale;paolo pendenza;;;corso bettini, 86 38068;rovereto;0464437700;0464/420025;rosmini.rovereto@pec.provincia.tn.it;dir.liceorosmini@scuole.provincia.tn.it;segr.liceorosmini@scuole.provincia.tn.it;https://www.liceorosmini.eu;tnpc02000a;https://www.vivoscuola.it/content/view/full/29876;https://it.wikipedia.org/wiki/Rovereto
"liceo ""a. rosmini"" - trento";istituzione scolastica e formativa;a carattere statale/provinciale;patrizia visconti;;;via malfatti, 2 38122;trento;0461914400;0461/914498;rosmini.trento@pec.provincia.tn.it;dir.rosmini.tn@scuole.provincia.tn.it;segr.rosmini.tn@scuole.provincia.tn.it;https://www.rosmini.eu;tnpm01000x;https://www.vivoscuola.it/content/view/full/29881;https://it.wikipedia.org/wiki/Trento
"liceo ""b. russell"" - cles";istituzione scolastica e formativa;a carattere statale/provinciale;roberta gambaro;;;via iv novembre, 35 38023;cles;0463424049;0463/424577;russell@pec.provincia.tn.it;dir.russell@scuole.provincia.tn.it;segr.russell@scuole.provincia.tn.it;https://www.liceorussell.eu;tnis00600t;https://www.vivoscuola.it/content/view/full/29886;https://it.wikipedia.org/wiki/Cles
"liceo ""f. filzi"" - rovereto";istituzione scolastica e formativa;a carattere statale/provinciale;norma borgogno;;;corso rosmini, 61 38068;rovereto;0464421223;0464/433003;filzi@pec.provincia.tn.it;dir.isup.filzi@scuole.provincia.tn.it;segr.isup.filzi@scuole.provincia.tn.it;https://www.liceofilzi.it;tnpm02000e;https://www.vivoscuola.it/content/view/full/29893;https://it.wikipedia.org/wiki/Rovereto
"liceo classico ""g. prati"" - trento";istituzione scolastica e formativa;a carattere statale/provinciale;paola baratter;;;via s trinita, 38 38122;trento;0461980190;0461/980747;prati@pec.provincia.tn.it;dir.liceoprati@scuole.provincia.tn.it;segr.liceoprati@scuole.provincia.tn.it;https://www.liceoprati.it;tnpc04000g;https://www.vivoscuola.it/content/view/full/29896;https://it.wikipedia.org/wiki/Trento
"liceo delle arti di trento e rovereto ""vittoria-bonporti-depero""";istituzione scolastica e formativa;a carattere statale/provinciale;daniela simoncelli;;;via zambra, 3 38121;trento;0461824422;;vittoria@pec.provincia.tn.it;dir.istitutodellearti@scuole.provincia.tn.it;info@liceodellearti.tn.it;https://www.liceodellearti.tn.it;tnsd02000x;https://www.vivoscuola.it/content/view/full/29815;https://it.wikipedia.org/wiki/Trento
"liceo linguistico ""s. m. scholl"" - trento";istituzione scolastica e formativa;a carattere statale/provinciale;chiara motter;;;via mattioli, 8 38122;trento;0461914499;0461915472;linguisticotrento@pec.provincia.tn.it;dir.linguisticotrento@scuole.provincia.tn.it;segr.linguisticotrento@scuole.provincia.tn.it;https://www.linguisticotrento.it;tnps11000q;https://www.vivoscuola.it/content/view/full/29898;https://it.wikipedia.org/wiki/Trento
"liceo scientifico ""g. galilei"" - trento";istituzione scolastica e formativa;a carattere statale/provinciale;elena ruggieri;;;viale bolognini, 88 38122;trento;0461913479;0461/913367;galilei@pec.provincia.tn.it;dir.liceogalilei@scuole.provincia.tn.it;segr.liceogalilei@scuole.provincia.tn.it;https://www.lsgalilei.org/;tnps01000v;https://www.vivoscuola.it/content/view/full/29900;https://it.wikipedia.org/wiki/Trento
"liceo scientifico ""l. da vinci"" - trento";istituzione scolastica e formativa;a carattere statale/provinciale;viviana sbardella ;;;via madruzzo, 24 38122;trento;0461984099;0461/986257;davinci@pec.provincia.tn.it;dir.liceodavinci@scuole.provincia.tn.it;segr.liceodavinci@scuole.provincia.tn.it;https://www.liceodavincitn.it;tnps02000d;https://www.vivoscuola.it/content/view/full/29904;https://it.wikipedia.org/wiki/Trento
polo giuseppe veronesi;istituzione scolastica e formativa;paritaria/equiparata;;laura scalfi;;piazzale orsi, 1 38068;rovereto;0464433484;0464/436873;iscrizioni.veronesi@pec.it;;segreteria.dir@cfpgveronesi.it;https://www.poloveronesi.it/;tncf002001;https://www.vivoscuola.it/content/view/full/29417;https://it.wikipedia.org/wiki/Rovereto
scuola dell'infanzia di ala;scuola dell'infanzia;paritaria/equiparata;;;francesca vareschi;via de ferrari, 1 38061;ala;0464671113;0464 674717;ala.presidente@fpsm.tn.it;;ala.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29925;https://it.wikipedia.org/wiki/Ala_(Italia)
scuola dell'infanzia di albiano;scuola dell'infanzia;paritaria/equiparata;;;pamela tomaselli;via s antonio, 22 38041;albiano;0461689486;0461 723325;albiano.presidente@fpsm.tn.it;;albiano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29927;https://it.wikipedia.org/wiki/Albiano_(Trentino-Alto_Adige)
scuola dell'infanzia di aldeno;scuola dell'infanzia;paritaria/equiparata;;;sandra ciappi;via xxv aprile, 5 38060;aldeno;0461842597;;aldeno.presidente@fpsm.tn.it;;aldeno.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29929;https://it.wikipedia.org/wiki/Aldeno
scuola dell'infanzia di andalo;scuola dell'infanzia;paritaria/equiparata;;;elena ricci;via paganella, 5 38010;andalo;0461585898;;andalo.presidente@fpsm.tn.it;;andalo.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29931;https://it.wikipedia.org/wiki/Andalo
scuola dell'infanzia di arco;scuola dell'infanzia;paritaria/equiparata;;;gianna angeli;viale capitelli, 16 38062;arco;0464516369;;arco.segretario@fpsm.tn.it;;arco.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29933;https://it.wikipedia.org/wiki/Arco_(Italia)
scuola dell'infanzia di avio;scuola dell'infanzia;paritaria/equiparata;;;francesca vareschi;via dante, 5 38063;avio;0464684102;;avio.presidente@fpsm.tn.it;;avio.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29935;https://it.wikipedia.org/wiki/Avio
scuola dell'infanzia di barco di levico;scuola dell'infanzia;paritaria/equiparata;;;mariangela simoncini;via di s taddeo, 8 38056;levico terme;0461707295;;barco.presidente@fpsm.tn.it;;barco.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29937;https://it.wikipedia.org/wiki/Levico_Terme
scuola dell'infanzia di bolognano;scuola dell'infanzia;paritaria/equiparata;;;gianna angeli;piazza vittoria, 1 38062;arco;0464516315;;bolognano.presidente@fpsm.tn.it;;bolognano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29939;https://it.wikipedia.org/wiki/Arco_(Italia)
scuola dell'infanzia di bondone;scuola dell'infanzia;paritaria/equiparata;;;alessandra pomilio;via giusti, 46 38080;bondone;0465898770;;bondone.presidente@fpsm.tn.it;;bondone.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29941;https://it.wikipedia.org/wiki/Bondone
scuola dell'infanzia di borgo sacco;scuola dell'infanzia;paritaria/equiparata;;;roberta medeghini;via fedrigotti, 9 38068;rovereto;0464430541;;borgo.sacco.presidente@fpsm.tn.it;;borgo.sacco.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29943;https://it.wikipedia.org/wiki/Rovereto
scuola dell'infanzia di borgo valsugana;scuola dell'infanzia;paritaria/equiparata;;;paola sangiorgi;piazza romani, 8 38051;borgo valsugana;0461754771;;borgo.valsugana.presidente@fpsm.tn.it;;borgo.valsugana.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29945;https://it.wikipedia.org/wiki/Borgo_Valsugana
"scuola dell'infanzia di breguzzo - bondo ""giuseppina bonazza odv""";scuola dell'infanzia;paritaria/equiparata;;;;via marconi - breguzzo, 5 38087;sella giudicarie;0465901550;;breguzzo.bondo.materna@associazionecoesi.com;;;;;https://www.vivoscuola.it/content/view/full/29923;https://it.wikipedia.org/wiki/Sella_Giudicarie
scuola dell'infanzia di brentonico;scuola dell'infanzia;paritaria/equiparata;;;francesca vareschi;via mantova, 5 38060;brentonico;0464395628;;brentonico.segretario@fpsm.tn.it;;brentonico.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29947;https://it.wikipedia.org/wiki/Brentonico
scuola dell'infanzia di calceranica;scuola dell'infanzia;paritaria/equiparata;;;mariangela simoncini;via cavour, 2 38050;calceranica al lago;0461723325;;calceranica.contabile@fpsm.tn.it;;calceranica.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29949;https://it.wikipedia.org/wiki/Calceranica_al_Lago
scuola dell'infanzia di campitello di fassa;scuola dell'infanzia;paritaria/equiparata;;;sara de zolt;strèda sènc felip e giacum, 9 38031;campitello di fassa;0462750470;;campitello.presidente@fpsm.tn.it;;campitello.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29953;https://it.wikipedia.org/wiki/Campitello_di_Fassa
scuola dell'infanzia di campodenno;scuola dell'infanzia;paritaria/equiparata;;;ute pancher;via s maurizio, 3 38010;campodenno;0461655166;;campodenno.presidente@fpsm.tn.it;;campodenno.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29955;https://it.wikipedia.org/wiki/Campodenno
scuola dell'infanzia di carano;scuola dell'infanzia;paritaria/equiparata;;;tiziana ceol;via giovanelli, 40 38033;ville di fiemme;0462341759;;carano.presidente@fpsm.tn.it;;carano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29957;https://it.wikipedia.org/wiki/Ville_di_Fiemme
scuola dell'infanzia di carisolo;scuola dell'infanzia;paritaria/equiparata;;;alessandra pomilio;viale trento, 4 38080;carisolo;0465501433;;carisolo.presidente@fpsm.tn.it;;carisolo.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29959;https://it.wikipedia.org/wiki/Carisolo
scuola dell'infanzia di casez;scuola dell'infanzia;paritaria/equiparata;;;ilaria mancini;via della pontara - casez, 10 38010;sanzeno;0463434219;;casez.presidente@fpsm.tn.it;;casez.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29961;https://it.wikipedia.org/wiki/Sanzeno
scuola dell'infanzia di castellano;scuola dell'infanzia;paritaria/equiparata;;;roberta medeghini;via caduti, 1 38060;villa lagarina;0464801242;;castellano.presidente@fpsm.tn.it;;castellano.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29963;https://it.wikipedia.org/wiki/Villa_Lagarina
scuola dell'infanzia di castello di fiemme;scuola dell'infanzia;paritaria/equiparata;;;tiziana ceol;via latemar, 2 38030;castello-molina di fiemme;0462341153;;castello.fiemme.segretario@fpsm.tn.it;;castello.fiemme.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29965;https://it.wikipedia.org/wiki/Castello-Molina_di_Fiemme
scuola dell'infanzia di castelnuovo;scuola dell'infanzia;paritaria/equiparata;;;paola sangiorgi;piazza municipio, 2 38050;castelnuovo;0461753637;;entesantamargherita@gmail.com;;castelnuovo.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29967;https://it.wikipedia.org/wiki/Castelnuovo_(Trentino-Alto_Adige)
scuola dell'infanzia di cavalese;scuola dell'infanzia;paritaria/equiparata;;;tiziana ceol;via regolani, 4 38033;cavalese;0462341673;;cavalese.segretario@fpsm.tn.it;;cavalese.presidente@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/92005;https://it.wikipedia.org/wiki/Cavalese
scuola dell'infanzia di cavedine;scuola dell'infanzia;paritaria/equiparata;;;gianna angeli;via iv novembre, 19 38073;cavedine;0461568548;;cavedine.presidente@fpsm.tn.it;;cavedine.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29971;https://it.wikipedia.org/wiki/Cavedine
scuola dell'infanzia di cembra;scuola dell'infanzia;paritaria/equiparata;;;pamela tomaselli;piazza zanotelli - cembra, 1 38034;cembra lisignago;0461680173;;cembra.presidente@fpsm.tn.it;;cembra.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29973;https://it.wikipedia.org/wiki/Cembra_Lisignago
scuola dell'infanzia di chizzola;scuola dell'infanzia;paritaria/equiparata;;;francesca vareschi;via canestrini - chizzola, 1 38061;ala;0464696397;;chizzola.presidente@fpsm.tn.it;;chizzola.segretario@fpsm.tn.it;;;https://www.vivoscuola.it/content/view/full/29975;https://it.wikipedia.org/wiki/Ala_(Italia)
