id;main institute;school;institute type;administration type;manager;director;educational coordinator;address;municipality;telephone;fax;institute email;management email;secretary's office email;website;miur code;vivoscuola institute link;entity;wikipedia municipality link;vivoscuola school link
280;istituto comprensivo cembra;scuola secondaria di primo grado stedro segonzano;;a carattere statale/provinciale;stefano chesini;;;frazione scancio, 69 38047;segonzano;0461683006;0461/682166;ic.cembra@pec.provincia.tn.it;dir.cembra@scuole.provincia.tn.it;segr.cembra@scuole.provincia.tn.it;https://www.iccembra.it;tnmm82202n;https://www.vivoscuola.it/content/view/full/29492;school;https://it.wikipedia.org/wiki/Segonzano;https://www.vivoscuola.it/content/view/full/29500
281;istituto comprensivo cembra;scuola secondaria di primo grado verla giovo;;a carattere statale/provinciale;stefano chesini;;;via al grec, 2 38030;giovo;0461683006;0461/682166;ic.cembra@pec.provincia.tn.it;dir.cembra@scuole.provincia.tn.it;segr.cembra@scuole.provincia.tn.it;https://www.iccembra.it;tnmm82203p;https://www.vivoscuola.it/content/view/full/29492;school;https://it.wikipedia.org/wiki/Giovo;https://www.vivoscuola.it/content/view/full/29501
282;istituto comprensivo centro valsugana;;istituzione scolastica e formativa;a carattere statale/provinciale;loredana montanaro;;;via don meggio, 2/a 38050;roncegno terme;0461764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnic81300r;https://www.vivoscuola.it/content/view/full/29502;institute;https://it.wikipedia.org/wiki/Roncegno_Terme;
283;istituto comprensivo centro valsugana;"scuola primaria ""c. corradi"" novaledo";;a carattere statale/provinciale;loredana montanaro;;;piazza municipio, 5 38050;novaledo;0461764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnee813064;https://www.vivoscuola.it/content/view/full/29502;school;https://it.wikipedia.org/wiki/Novaledo;https://www.vivoscuola.it/content/view/full/29503
284;istituto comprensivo centro valsugana;"scuola primaria ""p. martinelli"" roncegno terme";;a carattere statale/provinciale;loredana montanaro;;;via baldessari, 15 38050;roncegno terme;0461764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnee813075;https://www.vivoscuola.it/content/view/full/29502;school;https://it.wikipedia.org/wiki/Roncegno_Terme;https://www.vivoscuola.it/content/view/full/29504
285;istituto comprensivo centro valsugana;"scuola primaria ""t. v. gozzer"" castelnuovo";;a carattere statale/provinciale;loredana montanaro;;;piazza municipio, 4 38050;castelnuovo;0461764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnee81301v;https://www.vivoscuola.it/content/view/full/29502;school;https://it.wikipedia.org/wiki/Castelnuovo_(Trentino-Alto_Adige);https://www.vivoscuola.it/content/view/full/29505
286;istituto comprensivo centro valsugana;scuola primaria marter;;a carattere statale/provinciale;loredana montanaro;;;via della chiesa, 14 38050;roncegno terme;0461764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnee813086;https://www.vivoscuola.it/content/view/full/29502;school;https://it.wikipedia.org/wiki/Roncegno_Terme;https://www.vivoscuola.it/content/view/full/29506
287;istituto comprensivo centro valsugana;scuola primaria ronchi valsugana;;a carattere statale/provinciale;loredana montanaro;;;via marchi, 14 38050;ronchi valsugana;0461764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnee813109;https://www.vivoscuola.it/content/view/full/29502;school;https://it.wikipedia.org/wiki/Ronchi_Valsugana;https://www.vivoscuola.it/content/view/full/65578
288;istituto comprensivo centro valsugana;scuola primaria telve;;a carattere statale/provinciale;loredana montanaro;;;via giusti, 5 38050;telve;0461764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnee81302x;https://www.vivoscuola.it/content/view/full/29502;school;https://it.wikipedia.org/wiki/Telve;https://www.vivoscuola.it/content/view/full/29507
289;istituto comprensivo centro valsugana;scuola primaria telve di sopra;;a carattere statale/provinciale;loredana montanaro;;;via delle scuole, 19 38050;telve di sopra;0461764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnee813031;https://www.vivoscuola.it/content/view/full/29502;school;https://it.wikipedia.org/wiki/Telve_di_Sopra;https://www.vivoscuola.it/content/view/full/29508
290;istituto comprensivo centro valsugana;"scuola secondaria di primo grado ""don l. milani"" telve";;a carattere statale/provinciale;loredana montanaro;;;via borgo, 2/a 38050;telve;0461764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnmm81301t;https://www.vivoscuola.it/content/view/full/29502;school;https://it.wikipedia.org/wiki/Telve;https://www.vivoscuola.it/content/view/full/29509
291;istituto comprensivo centro valsugana;"scuola secondaria di primo grado ""m. pola"" roncegno terme";;a carattere statale/provinciale;loredana montanaro;;;via don meggio, 2/a 38050;roncegno terme;0461764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnmm81302v;https://www.vivoscuola.it/content/view/full/29502;school;https://it.wikipedia.org/wiki/Roncegno_Terme;https://www.vivoscuola.it/content/view/full/29510
292;istituto comprensivo civezzano;;istituzione scolastica e formativa;a carattere statale/provinciale;venera munafo';;;via murialdo, 27 38045;civezzano;0461858485;0461/858901;ic.civezzano@pec.provincia.tn.it;dir.i.c.civezzano@scuole.provincia.tn.it;segr.i.c.civezzano@scuole.provincia.tn.it;https://www.iccivezzano.eu;tnic817004;https://www.vivoscuola.it/content/view/full/29511;institute;https://it.wikipedia.org/wiki/Civezzano;
293;istituto comprensivo civezzano;"scuola primaria ""a. girardi"" fornace";;a carattere statale/provinciale;venera munafo';;;via dei mori, 2 38040;fornace;0461858485;0461/858901;ic.civezzano@pec.provincia.tn.it;dir.i.c.civezzano@scuole.provincia.tn.it;segr.i.c.civezzano@scuole.provincia.tn.it;https://www.iccivezzano.eu;tnee817038;https://www.vivoscuola.it/content/view/full/29511;school;https://it.wikipedia.org/wiki/Fornace_(Italia);https://www.vivoscuola.it/content/view/full/29512
294;istituto comprensivo civezzano;"scuola primaria ""g. b. borsieri"" civezzano";;a carattere statale/provinciale;venera munafo';;;via telvana, 6 38045;civezzano;0461858485;0461/858901;ic.civezzano@pec.provincia.tn.it;dir.i.c.civezzano@scuole.provincia.tn.it;segr.i.c.civezzano@scuole.provincia.tn.it;https://www.iccivezzano.eu;tnee817016;https://www.vivoscuola.it/content/view/full/29511;school;https://it.wikipedia.org/wiki/Civezzano;https://www.vivoscuola.it/content/view/full/29513
295;istituto comprensivo civezzano;scuola primaria albiano;;a carattere statale/provinciale;venera munafo';;;via manzoni, 4 38041;albiano;0461858485;0461/858901;ic.civezzano@pec.provincia.tn.it;dir.i.c.civezzano@scuole.provincia.tn.it;segr.i.c.civezzano@scuole.provincia.tn.it;https://www.iccivezzano.eu;tnee817049;https://www.vivoscuola.it/content/view/full/29511;school;https://it.wikipedia.org/wiki/Albiano_(Trentino-Alto_Adige);https://www.vivoscuola.it/content/view/full/29514
296;istituto comprensivo civezzano;scuola primaria seregnano civezzano;;a carattere statale/provinciale;venera munafo';;;frazione cogatti,   38045;civezzano;0461858485;0461/858901;ic.civezzano@pec.provincia.tn.it;dir.i.c.civezzano@scuole.provincia.tn.it;segr.i.c.civezzano@scuole.provincia.tn.it;https://www.iccivezzano.eu;tnee817027;https://www.vivoscuola.it/content/view/full/29511;school;https://it.wikipedia.org/wiki/Civezzano;https://www.vivoscuola.it/content/view/full/29515
297;istituto comprensivo civezzano;"scuola secondaria di primo grado ""g. alessandrini"" civezzano";;a carattere statale/provinciale;venera munafo';;;via murialdo, 27 38045;civezzano;0461858485;0461/858901;ic.civezzano@pec.provincia.tn.it;dir.i.c.civezzano@scuole.provincia.tn.it;segr.i.c.civezzano@scuole.provincia.tn.it;https://www.iccivezzano.eu;tnmm817015;https://www.vivoscuola.it/content/view/full/29511;school;https://it.wikipedia.org/wiki/Civezzano;https://www.vivoscuola.it/content/view/full/29516
298;istituto comprensivo civezzano;scuola secondaria di primo grado albiano;;a carattere statale/provinciale;venera munafo';;;via manzoni, 10 38041;albiano;0461858485;0461/858901;ic.civezzano@pec.provincia.tn.it;dir.i.c.civezzano@scuole.provincia.tn.it;segr.i.c.civezzano@scuole.provincia.tn.it;https://www.iccivezzano.eu;tnmm817026;https://www.vivoscuola.it/content/view/full/29511;school;https://it.wikipedia.org/wiki/Albiano_(Trentino-Alto_Adige);https://www.vivoscuola.it/content/view/full/29517
299;"istituto comprensivo cles ""b. clesio""";;istituzione scolastica e formativa;a carattere statale/provinciale;massimo gaburro;;;via chini, 31 38023;cles;0463421457;0463/424830;ic.cles@pec.provincia.tn.it;dir.ic.cles@scuole.provincia.tn.it;segr.ic.cles@scuole.provincia.tn.it;https://www.iccles.it;tnic83100a;https://www.vivoscuola.it/content/view/full/29518;institute;https://it.wikipedia.org/wiki/Cles;
300;"istituto comprensivo cles ""b. clesio""";"scuola primaria ""chiara lubich"" livo";;a carattere statale/provinciale;massimo gaburro;;;frazione livo,  92 38020;livo;0463421457;0463/424830;ic.cles@pec.provincia.tn.it;dir.ic.cles@scuole.provincia.tn.it;segr.ic.cles@scuole.provincia.tn.it;https://www.iccles.it;tnee83102d;https://www.vivoscuola.it/content/view/full/29518;school;https://it.wikipedia.org/wiki/Livo_(Trentino-Alto_Adige);https://www.vivoscuola.it/content/view/full/29521
301;"istituto comprensivo cles ""b. clesio""";"scuola primaria ""o.focherini m.marchesi"" mione rumo";;a carattere statale/provinciale;massimo gaburro;;;via di ronco - mione, 17 38020;rumo;0463421457;0463/424830;ic.cles@pec.provincia.tn.it;dir.ic.cles@scuole.provincia.tn.it;segr.ic.cles@scuole.provincia.tn.it;https://www.iccles.it;tnee83103e;https://www.vivoscuola.it/content/view/full/29518;school;https://it.wikipedia.org/wiki/Rumo;https://www.vivoscuola.it/content/view/full/29519
302;"istituto comprensivo cles ""b. clesio""";scuola primaria cles;;a carattere statale/provinciale;massimo gaburro;;;via dei campi neri, 1 38023;cles;0463421457;0463/424830;ic.cles@pec.provincia.tn.it;dir.ic.cles@scuole.provincia.tn.it;segr.ic.cles@scuole.provincia.tn.it;https://www.iccles.it;tnee83101c;https://www.vivoscuola.it/content/view/full/29518;school;https://it.wikipedia.org/wiki/Cles;https://www.vivoscuola.it/content/view/full/29520
303;"istituto comprensivo cles ""b. clesio""";"scuola secondaria di primo grado ""v. inama"" cles";;a carattere statale/provinciale;massimo gaburro;;;via chini, 31 38023;cles;0463421457;0463/424830;ic.cles@pec.provincia.tn.it;dir.ic.cles@scuole.provincia.tn.it;segr.ic.cles@scuole.provincia.tn.it;https://www.iccles.it;tnmm83101b;https://www.vivoscuola.it/content/view/full/29518;school;https://it.wikipedia.org/wiki/Cles;https://www.vivoscuola.it/content/view/full/29522
304;"istituto comprensivo del chiese ""don l. milani""";;istituzione scolastica e formativa;a carattere statale/provinciale;romeo collini;;;via papaleoni, 5 38089;storo;0465686039;0465/687076;ic.chiese-storo@pec.provincia.tn.it;dir.ic.chiese@scuole.provincia.tn.it;segr.ic.chiese@scuole.provincia.tn.it;https://www.istitutodelchiese.it;tnic838005;https://www.vivoscuola.it/content/view/full/29523;institute;https://it.wikipedia.org/wiki/Storo;
305;"istituto comprensivo del chiese ""don l. milani""";"scuola primaria ""g. papaleoni"" condino";;a carattere statale/provinciale;romeo collini;;;via la marmora - condino, 13 38083;borgo chiese;0465686039;0465/687076;ic.chiese-storo@pec.provincia.tn.it;dir.ic.chiese@scuole.provincia.tn.it;segr.ic.chiese@scuole.provincia.tn.it;https://www.istitutodelchiese.it;tnee838039;https://www.vivoscuola.it/content/view/full/29523;school;https://it.wikipedia.org/wiki/Borgo_Chiese;https://www.vivoscuola.it/content/view/full/29524
306;"istituto comprensivo del chiese ""don l. milani""";"scuola primaria ""padre c. gnesotti"" storo";;a carattere statale/provinciale;romeo collini;;;via papaleoni, 5 38089;storo;0465686039;0465/687076;ic.chiese-storo@pec.provincia.tn.it;dir.ic.chiese@scuole.provincia.tn.it;segr.ic.chiese@scuole.provincia.tn.it;https://www.istitutodelchiese.it;tnee83804a;https://www.vivoscuola.it/content/view/full/29523;school;https://it.wikipedia.org/wiki/Storo;https://www.vivoscuola.it/content/view/full/29525
307;"istituto comprensivo del chiese ""don l. milani""";scuola primaria pieve di bono - creto;;a carattere statale/provinciale;romeo collini;;;via fiera - creto - pieve di bono, 1 38085;pieve di bono-prezzo;0465674049;0465/687076;ic.chiese-storo@pec.provincia.tn.it;dir.ic.chiese@scuole.provincia.tn.it;segr.ic.chiese@scuole.provincia.tn.it;https://www.istitutodelchiese.it;tnee83808e;https://www.vivoscuola.it/content/view/full/29523;school;https://it.wikipedia.org/wiki/Pieve_di_Bono-Prezzo;https://www.vivoscuola.it/content/view/full/29526
308;"istituto comprensivo del chiese ""don l. milani""";scuola primaria storo - lodrone;;a carattere statale/provinciale;romeo collini;;;via xxiv maggio, 115 38089;storo;0465686039;0465/687076;ic.chiese-storo@pec.provincia.tn.it;dir.ic.chiese@scuole.provincia.tn.it;segr.ic.chiese@scuole.provincia.tn.it;https://www.istitutodelchiese.it;tnee83806c;https://www.vivoscuola.it/content/view/full/29523;school;https://it.wikipedia.org/wiki/Storo;https://www.vivoscuola.it/content/view/full/29527
309;"istituto comprensivo del chiese ""don l. milani""";"scuola secondaria di primo grado ""g. leopardi"" storo";;a carattere statale/provinciale;romeo collini;;;via papaleoni, 5 38089;storo;0465686039;0465/687076;ic.chiese-storo@pec.provincia.tn.it;dir.ic.chiese@scuole.provincia.tn.it;segr.ic.chiese@scuole.provincia.tn.it;https://www.istitutodelchiese.it;tnmm838016;https://www.vivoscuola.it/content/view/full/29523;school;https://it.wikipedia.org/wiki/Storo;https://www.vivoscuola.it/content/view/full/29528
310;"istituto comprensivo del chiese ""don l. milani""";"scuola secondaria di primo grado ""g. pascoli"" pieve di bono";;a carattere statale/provinciale;romeo collini;;;via fiera - creto - pieve di bono, 1 38085;pieve di bono-prezzo;0465674049;0465/687076;ic.chiese-storo@pec.provincia.tn.it;dir.ic.chiese@scuole.provincia.tn.it;segr.ic.chiese@scuole.provincia.tn.it;https://www.istitutodelchiese.it;tnmm838027;https://www.vivoscuola.it/content/view/full/29523;school;https://it.wikipedia.org/wiki/Pieve_di_Bono-Prezzo;https://www.vivoscuola.it/content/view/full/29529
311;istituto comprensivo di scuola primaria e secondaria di primiero;;istituzione scolastica e formativa;a carattere statale/provinciale;maria prodi;;;via delle fonti - transacqua, 10 38054;primiero san martino di castrozza;043962435;0439/762466;ic.primiero@pec.provincia.tn.it;dir.icprimiero@scuole.provincia.tn.it;segr.icprimiero@scuole.provincia.tn.it;https://www.scuoleprimiero.it;tnic810009;https://www.vivoscuola.it/content/view/full/29530;institute;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza;
312;istituto comprensivo di scuola primaria e secondaria di primiero;istituto tecnico per il settore economico;;a carattere statale/provinciale;maria prodi;;;via delle fonti - transacqua, 10 38054;primiero san martino di castrozza;043962435;0439/762466;ic.primiero@pec.provincia.tn.it;dir.icprimiero@scuole.provincia.tn.it;segr.icprimiero@scuole.provincia.tn.it;https://www.scuoleprimiero.it;tntd170007;https://www.vivoscuola.it/content/view/full/29530;school;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza;https://www.vivoscuola.it/content/view/full/29531
313;istituto comprensivo di scuola primaria e secondaria di primiero;istituto tecnico per il settore tecnologico;;a carattere statale/provinciale;maria prodi;;;via delle fonti - transacqua, 10 38054;primiero san martino di castrozza;043962435;0439/762466;ic.primiero@pec.provincia.tn.it;dir.icprimiero@scuole.provincia.tn.it;segr.icprimiero@scuole.provincia.tn.it;https://www.scuoleprimiero.it;tntd170007;https://www.vivoscuola.it/content/view/full/29530;school;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza;https://www.vivoscuola.it/content/view/full/29532
314;istituto comprensivo di scuola primaria e secondaria di primiero;liceo scientifico opzione scienze applicate;;a carattere statale/provinciale;maria prodi;;;via delle fonti - transacqua, 10 38054;primiero san martino di castrozza;043962435;0439/762466;ic.primiero@pec.provincia.tn.it;dir.icprimiero@scuole.provincia.tn.it;segr.icprimiero@scuole.provincia.tn.it;https://www.scuoleprimiero.it;tnps100005;https://www.vivoscuola.it/content/view/full/29530;school;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza;https://www.vivoscuola.it/content/view/full/29534
315;istituto comprensivo di scuola primaria e secondaria di primiero;"scuola primaria ""b. zanetel"" s.martino di castrozza";;a carattere statale/provinciale;maria prodi;;;via laghetto - san martino di castrozza, 28 38054;primiero san martino di castrozza;043962435;0439/762466;ic.primiero@pec.provincia.tn.it;dir.icprimiero@scuole.provincia.tn.it;segr.icprimiero@scuole.provincia.tn.it;https://www.scuoleprimiero.it;tnee81006l;https://www.vivoscuola.it/content/view/full/29530;school;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza;https://www.vivoscuola.it/content/view/full/29535
316;istituto comprensivo di scuola primaria e secondaria di primiero;"scuola primaria ""card. j. bernardin"" tonadico";;a carattere statale/provinciale;maria prodi;;;via sorelle lucian - tonadico, 8 38054;primiero san martino di castrozza;043962435;0439/762466;ic.primiero@pec.provincia.tn.it;dir.icprimiero@scuole.provincia.tn.it;segr.icprimiero@scuole.provincia.tn.it;https://www.scuoleprimiero.it;tnee81007n;https://www.vivoscuola.it/content/view/full/29530;school;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza;https://www.vivoscuola.it/content/view/full/29536
317;istituto comprensivo di scuola primaria e secondaria di primiero;"scuola primaria ""f. loss"" canal san bovo";;a carattere statale/provinciale;maria prodi;;;localita lausen, 14 38050;canal san bovo;043962435;0439/762466;ic.primiero@pec.provincia.tn.it;dir.icprimiero@scuole.provincia.tn.it;segr.icprimiero@scuole.provincia.tn.it;https://www.scuoleprimiero.it;tnee81001b;https://www.vivoscuola.it/content/view/full/29530;school;https://it.wikipedia.org/wiki/Canal_San_Bovo;https://www.vivoscuola.it/content/view/full/29537
318;istituto comprensivo di scuola primaria e secondaria di primiero;scuola primaria mezzano;;a carattere statale/provinciale;maria prodi;;;via iv novembre, 13 38050;mezzano;043962435;0439/762466;ic.primiero@pec.provincia.tn.it;dir.icprimiero@scuole.provincia.tn.it;segr.icprimiero@scuole.provincia.tn.it;https://www.scuoleprimiero.it;tnee81003d;https://www.vivoscuola.it/content/view/full/29530;school;https://it.wikipedia.org/wiki/Mezzano_(comune);https://www.vivoscuola.it/content/view/full/29538
319;istituto comprensivo di scuola primaria e secondaria di primiero;"scuola secondaria di primo grado ""l. negrelli""  - fiera di primiero";;a carattere statale/provinciale;maria prodi;;;viale monte grappa - fiera di primiero, 12 38054;primiero san martino di castrozza;043962435;0439/762466;ic.primiero@pec.provincia.tn.it;dir.icprimiero@scuole.provincia.tn.it;segr.icprimiero@scuole.provincia.tn.it;https://www.scuoleprimiero.it;tnmm81002b;https://www.vivoscuola.it/content/view/full/29530;school;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza;https://www.vivoscuola.it/content/view/full/29539
320;istituto comprensivo di scuola primaria e secondaria di primiero;scuola secondaria di primo grado canal san bovo;;a carattere statale/provinciale;maria prodi;;;localita lausen, 13/z 38050;canal san bovo;043962435;0439/762466;ic.primiero@pec.provincia.tn.it;dir.icprimiero@scuole.provincia.tn.it;segr.icprimiero@scuole.provincia.tn.it;https://www.scuoleprimiero.it;tnmm81001a;https://www.vivoscuola.it/content/view/full/29530;school;https://it.wikipedia.org/wiki/Canal_San_Bovo;https://www.vivoscuola.it/content/view/full/29540
321;istituto comprensivo folgaria - lavarone - luserna;;istituzione scolastica e formativa;a carattere statale/provinciale;morena manfrin;;;piazza marconi, 85 38064;folgaria;0464721283;;ic.folgaria-lavarone@pec.provincia.tn.it;dir.rella.folgaria@scuole.provincia.tn.it;segr.rella.folgaria@scuole.provincia.tn.it;https://www.icfolgarialavaroneluserna.it;tnic804002;https://www.vivoscuola.it/content/view/full/29541;institute;https://it.wikipedia.org/wiki/Folgaria;
322;istituto comprensivo folgaria - lavarone - luserna;scuola dell'infanzia di folgaria;;a carattere statale/provinciale;morena manfrin;;;via roma, 30 38064;folgaria;0464721362;;scuolainfanzia.folgaria@scuole.provincia.tn.it;dir.rella.folgaria@scuole.provincia.tn.it;segr.rella.folgaria@scuole.provincia.tn.it;https://www.icfolgarialavaroneluserna.it;;https://www.vivoscuola.it/content/view/full/29541;school;https://it.wikipedia.org/wiki/Folgaria;https://www.vivoscuola.it/content/view/full/29546
323;istituto comprensivo folgaria - lavarone - luserna;"scuola dell'infanzia di lavarone ""casa dell'arcobaleno""";;a carattere statale/provinciale;morena manfrin;;;frazione gionghi,   38046;lavarone;0464783098;;scuolainfanzia.lavarone@scuole.provincia.tn.it;dir.rella.folgaria@scuole.provincia.tn.it;segr.rella.folgaria@scuole.provincia.tn.it;https://www.icfolgarialavaroneluserna.it;;https://www.vivoscuola.it/content/view/full/29541;school;https://it.wikipedia.org/wiki/Lavarone;https://www.vivoscuola.it/content/view/full/29547
324;istituto comprensivo folgaria - lavarone - luserna;scuola dell'infanzia di luserna;;a carattere statale/provinciale;morena manfrin;;;via mazzini - prundle, 7 38040;luserna;0464789608;;scuolainfanzia.luserna@scuole.provincia.tn.it;dir.rella.folgaria@scuole.provincia.tn.it;segr.rella.folgaria@scuole.provincia.tn.it;https://www.icfolgarialavaroneluserna.it;;https://www.vivoscuola.it/content/view/full/29541;school;https://it.wikipedia.org/wiki/Luserna;https://www.vivoscuola.it/content/view/full/29548
325;istituto comprensivo folgaria - lavarone - luserna;scuola dell'infanzia di nosellari folgaria;;a carattere statale/provinciale;morena manfrin;;;via prati, 35 38064;folgaria;0464787010;;scuolainfanzia.nosellari@scuole.provincia.tn.it;dir.rella.folgaria@scuole.provincia.tn.it;segr.rella.folgaria@scuole.provincia.tn.it;https://www.icfolgarialavaroneluserna.it;;https://www.vivoscuola.it/content/view/full/29541;school;https://it.wikipedia.org/wiki/Folgaria;https://www.vivoscuola.it/content/view/full/29549
326;istituto comprensivo folgaria - lavarone - luserna;"scuola primaria ""s. lauton"" folgaria";;a carattere statale/provinciale;morena manfrin;;;via d acquisto, 21/a 38064;folgaria;0464721283;;ic.folgaria-lavarone@pec.provincia.tn.it;dir.rella.folgaria@scuole.provincia.tn.it;segr.rella.folgaria@scuole.provincia.tn.it;https://www.icfolgarialavaroneluserna.it;tnee804025;https://www.vivoscuola.it/content/view/full/29541;school;https://it.wikipedia.org/wiki/Folgaria;https://www.vivoscuola.it/content/view/full/29542
327;istituto comprensivo folgaria - lavarone - luserna;scuola primaria lavarone;;a carattere statale/provinciale;morena manfrin;;;frazione gionghi,  107/5 38046;lavarone;0464721283;;ic.folgaria-lavarone@pec.provincia.tn.it;dir.rella.folgaria@scuole.provincia.tn.it;segr.rella.folgaria@scuole.provincia.tn.it;https://www.icfolgarialavaroneluserna.it;tnee804014;https://www.vivoscuola.it/content/view/full/29541;school;https://it.wikipedia.org/wiki/Lavarone;https://www.vivoscuola.it/content/view/full/29543
328;istituto comprensivo folgaria - lavarone - luserna;"scuola secondaria di primo grado ""g. prati"" lavarone";;a carattere statale/provinciale;morena manfrin;;;frazione gionghi, 107/6 38046;lavarone;0464721283;;ic.folgaria-lavarone@pec.provincia.tn.it;dir.rella.folgaria@scuole.provincia.tn.it;segr.rella.folgaria@scuole.provincia.tn.it;https://www.icfolgarialavaroneluserna.it;tnmm804024;https://www.vivoscuola.it/content/view/full/29541;school;https://it.wikipedia.org/wiki/Lavarone;https://www.vivoscuola.it/content/view/full/29544
329;istituto comprensivo folgaria - lavarone - luserna;"scuola secondaria di primo grado ""p. rella"" folgaria";;a carattere statale/provinciale;morena manfrin;;;piazza marconi, 85 38064;folgaria;0464721283;;ic.folgaria-lavarone@pec.provincia.tn.it;dir.rella.folgaria@scuole.provincia.tn.it;segr.rella.folgaria@scuole.provincia.tn.it;https://www.icfolgarialavaroneluserna.it;tnmm804013;https://www.vivoscuola.it/content/view/full/29541;school;https://it.wikipedia.org/wiki/Folgaria;https://www.vivoscuola.it/content/view/full/29545
330;istituto comprensivo fondo - revo';;istituzione scolastica e formativa;a carattere statale/provinciale;miriam predelli;;;via laviosa zambotti - fondo, 24 38020;borgo d'anaunia;0463831134;0463/831746;ic.fondo@pec.provincia.tn.it;dir.ic.fondo@scuole.provincia.tn.it;segr.ic.fondo@scuole.provincia.tn.it;https://www.icfondorevo.it;tnic82800e;https://www.vivoscuola.it/content/view/full/29550;institute;https://it.wikipedia.org/wiki/Borgo_d%27Anaunia;
331;istituto comprensivo fondo - revo';"scuola primaria ""c.a. martini"" revo'";;a carattere statale/provinciale;miriam predelli;;;via delle maddalene, 7 38028;novella;0463831134;0463/831746;ic.fondo@pec.provincia.tn.it;dir.ic.fondo@scuole.provincia.tn.it;segr.ic.fondo@scuole.provincia.tn.it;https://www.icfondorevo.it;tnee828091;https://www.vivoscuola.it/content/view/full/29550;school;https://it.wikipedia.org/wiki/Novella_(Italia);https://www.vivoscuola.it/content/view/full/29551
332;istituto comprensivo fondo - revo';"scuola primaria ""madre teresa di calcutta"" romeno";;a carattere statale/provinciale;miriam predelli;;;via monsignor rosati, 1 38010;romeno;0463831134;0463/831746;ic.fondo@pec.provincia.tn.it;dir.ic.fondo@scuole.provincia.tn.it;segr.ic.fondo@scuole.provincia.tn.it;https://www.icfondorevo.it;tnee82805r;https://www.vivoscuola.it/content/view/full/29550;school;https://it.wikipedia.org/wiki/Romeno_(Italia);https://www.vivoscuola.it/content/view/full/29552
333;istituto comprensivo fondo - revo';"scuola primaria ""padre a. stefenelli"" fondo";;a carattere statale/provinciale;miriam predelli;;;piazza don stefenelli - fondo, 2 38020;borgo d'anaunia;0463831134;0463/831746;ic.fondo@pec.provincia.tn.it;dir.ic.fondo@scuole.provincia.tn.it;segr.ic.fondo@scuole.provincia.tn.it;https://www.icfondorevo.it;tnee82804q;https://www.vivoscuola.it/content/view/full/29550;school;https://it.wikipedia.org/wiki/Borgo_d%27Anaunia;https://www.vivoscuola.it/content/view/full/29553
334;istituto comprensivo fondo - revo';"scuola primaria ""stefano zuech"" brez";;a carattere statale/provinciale;miriam predelli;;;via nigaiola - brez, 1 38028;novella;0463831134;0463/831746;ic.fondo@pec.provincia.tn.it;dir.ic.fondo@scuole.provincia.tn.it;segr.ic.fondo@scuole.provincia.tn.it;https://www.icfondorevo.it;tnee82808x;https://www.vivoscuola.it/content/view/full/29550;school;https://it.wikipedia.org/wiki/Novella_(Italia);https://www.vivoscuola.it/content/view/full/29554
